MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:02:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515668550.688,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668550.748,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668550.905,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668550.960,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.190,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.242,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.406,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.460,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.519,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668551.568,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668551.697,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.759,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.801,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668551.848,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668551.914,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668551.958,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668552.026,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668552.187,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668552.242,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668552.401,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668552.421,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668552.500,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668552.557,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668552.602,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668552.677,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668552.707,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668552.761,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668552.826,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668552.910,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668552.949,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668553.011,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668553.111,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668553.162,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668553.220,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668553.259,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668553.517,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668553.799,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668553.840,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668553.891,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668553.949,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668553.990,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668554.034,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668554.263,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668554.348,0,-32,0,3,21.00,4
0x107010349013305354381889,1515668554.405,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668554.555,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668554.609,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668554.669,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668554.804,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668554.856,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668554.895,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668554.946,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668555.011,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668555.039,0,-30,0,4,21.00,3
0x107010349013305354381889,1515668555.138,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668555.260,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668555.527,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668555.556,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668555.652,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668555.668,0,-30,0,4,21.00,3
0x107010349013305354381889,1515668555.717,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668555.785,0,-32,0,4,21.00,4
0x107010349013305354381889,1515668555.870,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668555.954,0,-32,0,4,21.00,4
0x107010349013305354381889,1515668556.057,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668556.091,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668556.278,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668556.317,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668556.456,0,-30,0,4,21.00,3
0x107010349013305354381889,1515668556.505,0,-30,0,4,21.00,3
0x107010349013305354381889,1515668556.588,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668556.645,0,-32,0,4,21.00,4
0x107010349013305354381889,1515668556.727,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668556.812,0,-32,0,4,21.00,4
0x107010349013305354381889,1515668556.906,0,-33,0,4,21.00,2
0x107010349013305354381889,1515668556.936,0,-33,0,4,21.00,2
0x107010349013305354381889,1515668557.125,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.160,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.360,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.549,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.592,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.660,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668557.702,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668557.831,0,-33,0,4,21.00,2
0x107010349013305354381889,1515668557.873,0,-33,0,4,21.00,2
0x107010349013305354381889,1515668557.922,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668557.958,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668558.025,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668558.074,0,-33,0,4,21.00,4
0x107010349013305354381889,1515668558.125,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668558.200,0,-31,0,4,21.00,3
0x107010349013305354381889,1515668558.324,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668558.456,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668558.548,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668558.627,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668558.689,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668558.761,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668558.838,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668558.991,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668559.153,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668559.194,0,-28,0,1,21.00,3
0x107010349013305354381889,1515668559.392,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668559.412,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668559.481,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668559.538,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668559.772,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668559.844,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668559.925,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668559.979,0,-29,0,1,21.00,3
0x107010349013305354381889,1515668560.020,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668560.231,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668560.257,0,-28,0,1,21.00,3
0x107010349013305354381889,1515668560.312,0,-32,0,1,21.00,4
0x107010349013305354381889,1515668560.371,0,-32,0,1,21.00,4
0x107010249722621700351874,1515668550.705,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668550.736,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668550.914,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668550.951,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.203,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.254,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.421,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.471,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.714,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.746,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668551.937,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668552.197,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668552.435,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668552.617,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668552.659,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668552.803,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668552.872,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.031,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.053,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668553.232,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.273,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.507,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.749,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668553.895,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668553.939,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668554.252,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668554.282,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668554.527,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668554.574,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668555.022,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668555.059,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668555.237,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668555.287,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668556.068,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668556.289,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668556.340,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668556.523,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668556.690,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668556.744,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668557.114,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668557.171,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668557.337,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668557.383,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668557.574,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668557.912,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668557.971,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668558.136,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668558.184,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668558.421,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668558.476,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668558.866,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668558.920,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668559.210,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668559.363,0,-30,0,1,21.00,3
0x107010249722621700351874,1515668559.414,0,-29,0,1,21.00,3
0x107010249722621700351874,1515668559.782,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668559.816,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668559.992,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668560.033,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668560.242,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668560.280,0,-31,0,1,21.00,3
0x107010349013305353841887,1515668550.783,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668550.854,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668551.067,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668551.350,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668551.558,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.003,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.060,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.305,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.341,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.512,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.542,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.920,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668552.966,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668553.127,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668553.173,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668553.349,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668553.595,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668553.639,0,-33,0,3,21.00,4
0x107010349013305353841887,1515668555.344,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668555.380,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668555.498,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668555.566,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668556.389,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668556.600,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668557.025,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668557.434,0,-32,0,4,21.00,4
0x107010349013305353841887,1515668557.491,0,-33,0,4,21.00,4
0x107010349013305353841887,1515668558.229,0,-33,0,4,21.00,4
0x107010349013305354381888,1515668550.794,0,-34,0,3,21.00,4
