MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:14:23 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x106020349010851617841860,1515669249.631,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669249.670,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669249.841,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669249.899,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.151,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.206,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.376,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.439,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.642,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.736,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669250.964,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.009,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.271,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.327,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.417,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.468,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.636,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.683,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669251.958,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669252.000,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669252.492,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669252.543,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669252.744,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669252.965,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669253.376,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669253.436,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669253.825,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669253.878,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.057,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.173,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.378,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.426,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.676,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669254.732,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669255.028,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669255.288,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669255.469,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669255.498,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669255.782,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.057,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.097,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.342,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.399,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.490,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.609,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.670,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669256.885,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669257.279,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669257.489,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669257.829,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669258.308,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669258.930,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669258.987,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669249.642,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669249.697,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669249.910,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.177,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.388,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.607,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.633,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.723,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669250.786,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669251.019,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669251.340,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669251.459,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669251.646,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.175,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.227,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.735,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.767,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.942,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669252.993,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669253.168,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669253.360,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669253.453,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669253.550,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669253.846,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669254.161,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669254.203,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669254.366,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669254.436,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669254.721,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669255.003,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669255.480,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669255.770,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669255.810,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669256.078,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669256.467,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669256.518,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669256.619,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669256.986,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669257.085,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669257.109,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669257.202,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669257.266,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669257.442,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669257.788,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669257.842,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.030,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.288,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.340,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.640,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.670,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669258.951,0,-34,0,4,21.00,3
