MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:33:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515670360.647,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670360.694,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670360.941,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670360.982,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670361.642,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670361.679,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670362.158,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670362.194,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670363.140,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670363.173,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670363.555,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670363.591,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670364.270,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670364.316,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670364.595,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670364.622,0,-32,0,3,21.00,1
0x107010349013305354381889,1515670360.729,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670360.781,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670360.862,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670361.017,0,-28,0,2,21.00,3
0x107010349013305354381889,1515670361.062,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670361.149,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670361.253,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670361.268,0,-28,0,2,21.00,3
0x107010349013305354381889,1515670361.361,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670361.442,0,-28,0,2,21.00,3
0x107010349013305354381889,1515670361.485,0,-28,0,2,21.00,3
0x107010349013305354381889,1515670361.717,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670361.762,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670361.854,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670361.935,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670361.983,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.076,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670362.232,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.275,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.380,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670362.463,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.512,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.597,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670362.627,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670362.688,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.731,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.913,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670362.963,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670363.040,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670363.080,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670363.208,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670363.257,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670363.340,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670363.375,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670363.425,0,-28,0,2,21.00,3
0x107010349013305354381889,1515670363.464,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670363.619,0,-28,0,2,21.00,3
