MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:47:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515664026.537,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664026.575,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664026.642,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664026.695,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664026.753,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664026.807,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664026.867,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664026.909,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664026.963,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.009,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.064,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.105,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.150,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664027.200,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664027.255,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664027.306,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664027.355,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.410,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.468,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.505,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.550,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664027.598,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664027.632,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664027.679,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664027.729,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.776,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664027.829,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.873,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664027.932,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664027.973,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664028.022,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.072,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.122,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664028.168,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664028.220,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664028.259,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664028.308,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664028.350,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664028.399,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.475,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.525,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664028.579,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664028.635,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664028.680,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664028.737,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664028.783,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664028.846,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.888,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664028.939,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664028.994,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664029.048,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.084,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.131,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664029.183,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664029.217,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664029.258,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664029.314,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664029.362,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664029.424,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.460,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.506,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664029.558,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664029.616,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664029.669,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664029.718,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664029.769,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664029.823,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.863,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664029.907,0,-22,0,3,21.00,3
0x000000000000000000006031,1515664029.964,0,-21,0,3,21.00,3
0x000000000000000000006031,1515664030.016,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664030.067,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664030.115,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664030.162,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664030.219,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664030.262,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664030.330,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664030.369,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664030.421,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664030.469,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664030.524,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664030.569,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664030.624,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664030.671,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664030.724,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664030.768,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664030.816,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664030.864,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664030.924,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664030.975,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664031.030,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.074,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.132,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664031.184,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664031.240,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664031.277,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664031.326,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664031.371,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664031.425,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.462,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.510,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664031.559,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664031.613,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664031.664,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664031.724,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664031.773,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664031.834,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.873,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664031.922,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664031.970,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664032.038,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664032.078,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664032.140,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664032.195,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664032.252,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664032.303,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664032.349,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664032.395,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664032.454,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664032.496,0,-17,0,4,21.00,4
0x000000000000000000006031,1515664032.545,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664032.595,0,-20,0,4,21.00,1
0x000000000000000000006031,1515664032.649,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664032.681,0,-16,0,4,21.00,2
0x000000000000000000006031,1515664032.735,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664032.782,0,-21,0,4,21.00,3
0x000000000000000000006031,1515664032.852,0,-17,0,4,21.00,4
