MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:45:56 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661863,1517377542.651,0,-34,0,1,21.00,4
0x107010145263633097661863,1517377542.726,0,-33,0,1,21.00,4
0x107010145263633097661863,1517377547.171,0,-33,0,1,21.00,4
0x107010145263633097661863,1517377548.129,0,-33,0,1,21.00,4
0x107010145263633097661863,1517377548.198,0,-34,0,1,21.00,4
0x107010145263633097661863,1517377550.769,0,-33,0,1,21.00,4
0x107010145263633097661863,1517377550.803,0,-34,0,1,21.00,4
0x107010145263633097661863,1517377551.424,0,-33,0,1,21.00,4
0x108010249027506682943252,1517377542.660,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377542.696,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.093,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.282,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.483,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.538,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.704,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377543.954,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377544.127,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377544.327,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377544.881,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377544.911,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377545.363,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377545.431,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377545.612,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377546.009,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377546.591,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377546.705,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377546.744,0,-31,0,1,21.00,4
0x108010249027506682943252,1517377547.408,0,-31,0,1,21.00,4
0x108010249027506682943252,1517377547.765,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377549.073,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377551.442,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377552.035,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377552.095,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377552.257,0,-32,0,1,21.00,4
0x108010249027506682943252,1517377552.474,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377542.675,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377543.495,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377543.547,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377543.754,0,-33,0,1,21.00,4
0x107010249018591604251876,1517377544.635,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377545.163,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377545.196,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377545.384,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377545.779,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377545.820,0,-32,0,1,21.00,4
0x107010249018591604251876,1517377546.913,0,-32,0,1,21.00,4
