MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:26:54 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515659203.321,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659203.366,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659203.643,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659203.707,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659203.970,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.012,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.191,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.244,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.413,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.466,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.648,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659204.690,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659204.737,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659204.784,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.053,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.075,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.457,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.503,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.697,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659205.746,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.016,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.075,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.348,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.395,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.478,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659206.511,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659206.654,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.696,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.873,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659206.932,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659207.244,0,-27,0,1,21.00,3
0x107010349013305354381889,1515659207.287,0,-27,0,1,21.00,3
0x107010349013305354381889,1515659207.466,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659207.514,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659207.598,0,-27,0,1,21.00,3
0x107010349013305354381889,1515659207.642,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659207.818,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659207.895,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659207.950,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.006,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.192,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.241,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.407,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.465,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.749,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.809,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659208.985,0,-27,0,1,21.00,3
