MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:40:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515660011.840,0,-33,0,2,21.00,1
0x107010549013305354071900,1515660011.886,0,-33,0,2,21.00,1
0x107010549013305354071900,1515660012.510,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660012.560,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660012.938,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660012.973,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660013.935,0,-34,0,2,21.00,4
0x107010549013305354071900,1515660013.972,0,-34,0,2,21.00,4
0x107010549013305354071900,1515660014.020,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660014.068,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660014.303,0,-34,0,2,21.00,4
0x107010549013305354071900,1515660014.341,0,-34,0,2,21.00,4
0x107010549013305354071900,1515660014.657,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660015.396,0,-34,0,2,21.00,1
0x107010549013305354071900,1515660015.439,0,-33,0,2,21.00,1
0x107010549013305354071900,1515660015.661,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660015.730,0,-34,0,3,21.00,1
0x107010549013305354071900,1515660015.974,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660016.152,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660016.508,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660016.705,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660016.983,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660017.026,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660017.358,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660017.407,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660017.575,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660017.727,0,-34,0,3,21.00,1
0x107010549013305354071900,1515660018.010,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.050,0,-34,0,3,21.00,1
0x107010549013305354071900,1515660018.096,0,-34,0,3,21.00,1
0x107010549013305354071900,1515660018.261,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.288,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.478,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.518,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.773,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660018.816,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660019.058,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660019.112,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660019.288,0,-33,0,3,21.00,4
0x107010549013305354071900,1515660019.392,0,-34,0,3,21.00,1
0x107010549013305354071900,1515660019.727,0,-32,0,4,21.00,4
0x107010549013305354071900,1515660020.395,0,-33,0,4,21.00,4
0x107010549013305354071900,1515660021.199,0,-33,0,4,21.00,4
0x107010549013305354071900,1515660021.233,0,-33,0,4,21.00,4
0x00b07a139010bc913000c7d3,1515660011.851,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515660011.898,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515660012.539,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515660012.928,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515660014.058,0,-31,0,2,21.00,1
