MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:07:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371665.749,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371665.797,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371665.844,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371665.891,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371665.981,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371666.051,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371666.090,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371666.171,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371666.185,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371666.248,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371666.322,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371666.383,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371666.506,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371666.559,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371666.651,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371666.715,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371666.779,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371666.825,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371666.880,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371666.922,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371666.978,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371667.062,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371667.133,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371667.165,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371667.241,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371667.304,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371667.376,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371667.436,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371667.478,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371667.551,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371667.591,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371667.644,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371667.782,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371667.856,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371667.906,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371667.968,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371668.011,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371668.058,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371668.109,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371668.162,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371668.213,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371668.266,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371668.335,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371668.388,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371668.432,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371668.456,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371668.514,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371668.563,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371668.616,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371668.666,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371668.700,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371668.760,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371668.844,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371668.903,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371668.956,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371669.008,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371669.104,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371669.152,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371669.186,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371669.233,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371669.293,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371669.354,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371669.411,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371669.445,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371669.509,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371669.613,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371669.766,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371669.810,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371669.859,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371669.905,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371669.961,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371670.009,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371670.081,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371670.134,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371670.194,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371670.279,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371670.305,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371670.362,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371670.418,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371670.457,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371670.535,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371670.623,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371670.659,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371670.699,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371670.759,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371670.813,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371670.873,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371670.912,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371670.970,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371671.023,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371671.185,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371671.245,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371671.294,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371671.351,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371671.403,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371671.449,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371671.474,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371671.518,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371671.598,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371671.741,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371671.800,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371671.843,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371672.034,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371672.119,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371672.183,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371672.226,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371672.403,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371672.446,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371672.524,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371672.560,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371672.647,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371672.751,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371672.791,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371672.829,0,-26,0,1,21.00,1
