MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:15:53 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517372137.061,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372137.106,0,-25,0,1,21.00,2
0x000000000000000000006041,1517372137.162,0,-25,0,1,21.00,2
0x000000000000000000006041,1517372137.196,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372137.253,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372137.300,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372137.358,0,-26,0,1,21.00,4
0x000000000000000000006041,1517372137.432,0,-27,0,1,21.00,1
0x000000000000000000006041,1517372137.470,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372137.537,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372137.570,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372137.609,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372137.661,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372137.726,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372137.775,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372137.889,0,-27,0,1,21.00,1
0x000000000000000000006041,1517372138.057,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372138.101,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372138.163,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372138.226,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372138.302,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372138.367,0,-27,0,1,21.00,1
0x000000000000000000006041,1517372138.423,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372138.454,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372138.489,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372138.536,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372138.602,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372138.653,0,-27,0,1,21.00,4
0x000000000000000000006041,1517372138.763,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372138.840,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372138.889,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372138.920,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372138.974,0,-25,0,1,21.00,3
