MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:00:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371214.994,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.050,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.109,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371215.148,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371215.208,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371215.267,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371215.322,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.378,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.461,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371215.489,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371215.511,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371215.557,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371215.612,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371215.665,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371215.730,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.779,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371215.895,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371215.955,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371216.001,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371216.055,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371216.115,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371216.179,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371216.244,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371216.311,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371216.367,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371216.430,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371216.486,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371216.544,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371216.653,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371216.721,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371216.768,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371216.834,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371216.896,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371216.967,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371217.014,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371217.078,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.121,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.182,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371217.237,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371217.305,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371217.400,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371217.482,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371217.521,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.563,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.620,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371217.687,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371217.764,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371217.805,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371217.858,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.907,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371217.974,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371218.025,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371218.087,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371218.134,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371218.216,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371218.268,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371218.321,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371218.359,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371218.431,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371218.475,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371218.567,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371218.607,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371218.654,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371218.695,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371218.755,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371218.890,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371218.949,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371219.002,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371219.159,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371219.202,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371219.258,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371219.325,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371219.407,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371219.446,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371219.497,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371219.551,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371219.608,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371219.665,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371219.729,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371219.912,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371219.974,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371220.036,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.101,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.190,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371220.207,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371220.266,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371220.306,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371220.371,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.435,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.483,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371220.554,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371220.621,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371220.689,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371220.744,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371220.802,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.860,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371220.963,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371221.020,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371221.067,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371221.106,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371221.158,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371221.209,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371221.276,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371221.355,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371221.399,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371221.470,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371221.531,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371221.561,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371221.609,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371221.661,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371221.722,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371221.787,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371221.829,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371221.898,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371221.944,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371222.000,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371222.054,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371222.187,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371222.335,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371222.378,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371222.442,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371222.497,0,-25,0,1,21.00,4
0x000000000000000000006041,1517371222.594,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371222.700,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371222.756,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371222.817,0,-24,0,1,21.00,4
0x000000000000000000006041,1517371222.938,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371223.006,0,-27,0,1,21.00,2
0x000000000000000000006041,1517371223.128,0,-24,0,1,21.00,3
