MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:36:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666975.371,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666975.410,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666975.821,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666975.859,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666976.117,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666976.181,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666976.838,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666976.883,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666977.343,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666977.409,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666977.654,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666977.717,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666978.144,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666978.184,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666980.057,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.102,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.440,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.474,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.687,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.729,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.965,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666980.996,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666981.255,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666981.300,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666981.641,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666981.690,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666982.158,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666982.199,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666982.910,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666982.950,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515666983.422,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666983.485,0,-30,0,1,21.00,1
0x107010549013305354071900,1515666975.381,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666975.423,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666975.512,0,-33,0,3,21.00,4
0x107010549013305354071900,1515666975.804,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666975.869,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666976.137,0,-33,0,3,21.00,1
