MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:24:39 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666265.916,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666265.964,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666266.312,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666266.402,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666266.796,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666266.825,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666267.141,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666267.195,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666267.552,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666267.605,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666267.960,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666268.003,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666268.384,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666268.424,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666268.778,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666268.866,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666269.216,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666269.257,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666269.587,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666269.661,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666270.019,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666270.063,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666270.444,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666270.505,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666270.845,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666270.878,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666271.264,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666271.310,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666271.669,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666271.697,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666272.049,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666272.086,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666272.415,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666272.480,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666272.833,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666273.205,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666273.250,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666273.648,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666273.680,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.015,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.056,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.386,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.435,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.793,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666274.832,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666275.188,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666275.218,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666275.577,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666275.934,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666275.986,0,-30,0,3,21.00,1
0x000000000000000000006121,1515666265.950,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666266.015,0,-22,0,1,21.00,2
0x000000000000000000006121,1515666266.052,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666266.129,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666266.237,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666266.291,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666266.384,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666266.458,0,-22,0,1,21.00,2
0x000000000000000000006121,1515666266.501,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666266.592,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666266.704,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666266.767,0,-24,0,1,21.00,1
0x000000000000000000006121,1515666266.814,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666266.859,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666266.896,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666266.969,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666267.014,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666267.041,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666267.077,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666267.130,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666267.172,0,-26,0,1,21.00,1
0x000000000000000000006121,1515666267.228,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666267.276,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666267.358,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666267.415,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666267.439,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666267.482,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666267.533,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666267.582,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666267.642,0,-22,0,1,21.00,2
0x000000000000000000006121,1515666267.691,0,-22,0,1,21.00,2
0x000000000000000000006121,1515666267.843,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666267.876,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666267.930,0,-26,0,1,21.00,1
0x000000000000000000006121,1515666267.981,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666268.043,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666268.090,0,-22,0,1,21.00,2
0x000000000000000000006121,1515666268.246,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666268.302,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666268.361,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666268.406,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666268.439,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666268.487,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666268.588,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666268.644,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666268.682,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666268.735,0,-24,0,1,21.00,1
0x000000000000000000006121,1515666268.840,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666268.892,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666268.939,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666269.006,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666269.052,0,-29,0,1,21.00,3
0x000000000000000000006121,1515666269.100,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666269.140,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666269.200,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666269.224,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666269.281,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666269.319,0,-21,0,1,21.00,2
0x000000000000000000006121,1515666269.482,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666269.525,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666269.572,0,-26,0,1,21.00,1
0x000000000000000000006121,1515666269.630,0,-25,0,1,21.00,1
0x000000000000000000006121,1515666269.686,0,-22,0,1,21.00,2
