MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:36:10 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515659757.563,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659757.606,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659757.879,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659757.930,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.183,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.212,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.471,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.530,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.868,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659758.914,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659759.178,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659759.217,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659759.416,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659759.437,0,-30,0,2,21.00,3
0x107010249722621700351874,1515659759.738,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659759.768,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659760.141,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659760.202,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659760.512,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659760.786,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659760.826,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659761.094,0,-32,0,2,21.00,3
0x107010249722621700351874,1515659761.402,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659761.452,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659761.802,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659761.876,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.145,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.336,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.400,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.660,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.702,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659762.895,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659762.938,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659763.170,0,-33,0,3,21.00,3
0x107010249722621700351874,1515659763.236,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659763.535,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659763.692,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659763.737,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659764.275,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659764.344,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659764.623,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659764.684,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659764.889,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659765.081,0,-32,0,3,21.00,3
0x107010249722621700351874,1515659765.522,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659765.711,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659765.756,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659766.097,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659766.148,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659766.391,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659766.465,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659766.873,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659767.283,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659767.564,0,-33,0,4,21.00,3
0x107010249722621700351874,1515659767.852,0,-33,0,4,21.00,3
0x107010349013305354381889,1515659757.574,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659757.593,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659757.852,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659757.903,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.164,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.201,0,-27,0,2,21.00,3
0x107010349013305354381889,1515659758.281,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659758.449,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.503,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.580,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659758.618,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659758.842,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.885,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659758.977,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659759.198,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659759.311,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659759.393,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659759.449,0,-29,0,2,21.00,3
0x107010349013305354381889,1515659759.709,0,-27,0,2,21.00,3
0x107010349013305354381889,1515659759.753,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659759.842,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659760.121,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659760.161,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659760.257,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659760.438,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659760.485,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659760.757,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659760.802,0,-27,0,2,21.00,3
0x107010349013305354381889,1515659760.879,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659760.936,0,-31,0,2,21.00,4
0x107010349013305354381889,1515659761.102,0,-28,0,2,21.00,3
0x107010349013305354381889,1515659761.385,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659761.433,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659761.492,0,-32,0,3,21.00,4
0x107010349013305354381889,1515659761.831,0,-27,0,3,21.00,3
0x107010349013305354381889,1515659761.925,0,-32,0,3,21.00,4
0x107010349013305354381889,1515659761.968,0,-32,0,3,21.00,4
0x107010349013305354381889,1515659762.108,0,-27,0,3,21.00,3
0x107010349013305354381889,1515659762.150,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659762.227,0,-32,0,3,21.00,4
0x107010349013305354381889,1515659762.290,0,-32,0,3,21.00,4
0x107010349013305354381889,1515659762.368,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659762.480,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659762.648,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659762.686,0,-27,0,3,21.00,3
0x107010349013305354381889,1515659762.864,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659762.910,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.158,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.194,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.297,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659763.466,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.512,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.575,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659763.629,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659763.680,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.722,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659763.794,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659763.818,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659763.957,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.001,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.056,0,-30,0,3,21.00,4
0x107010349013305354381889,1515659764.117,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659764.258,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.304,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.597,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.646,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.717,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659764.785,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659764.861,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659764.967,0,-31,0,3,21.00,4
0x107010349013305354381889,1515659765.044,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659765.087,0,-28,0,3,21.00,3
0x107010349013305354381889,1515659765.187,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659765.268,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659765.348,0,-29,0,4,21.00,3
0x107010349013305354381889,1515659765.444,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659765.489,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659765.543,0,-29,0,4,21.00,3
0x107010349013305354381889,1515659765.594,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659765.662,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659765.742,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659765.811,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659765.878,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659766.004,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659766.039,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659766.086,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.128,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.208,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659766.253,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659766.377,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.423,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.705,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659766.748,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659766.774,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.816,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659766.999,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.060,0,-29,0,4,21.00,3
0x107010349013305354381889,1515659767.119,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659767.255,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.326,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659767.366,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659767.521,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.571,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.819,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.856,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659767.928,0,-32,0,4,21.00,4
0x107010349013305354381889,1515659767.986,0,-32,0,4,21.00,4
0x107010349013305354381888,1515659757.586,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659757.899,0,-34,0,2,21.00,3
0x107010349013305354381888,1515659757.987,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659758.261,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659758.314,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659758.496,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659758.877,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659759.191,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659759.290,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659759.345,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659759.429,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659759.534,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659759.724,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659759.778,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659759.822,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659759.890,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659760.275,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659760.469,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659760.527,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659760.816,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659760.870,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659760.925,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659761.083,0,-33,0,2,21.00,3
0x107010349013305354381888,1515659761.238,0,-32,0,2,21.00,4
0x107010349013305354381888,1515659761.567,0,-33,0,3,21.00,4
0x107010349013305354381888,1515659761.978,0,-33,0,3,21.00,4
0x107010349013305354381888,1515659762.527,0,-33,0,3,21.00,4
0x107010349013305354381888,1515659762.829,0,-33,0,3,21.00,4
0x107010349013305354381888,1515659763.325,0,-32,0,3,21.00,4
0x107010349013305354381888,1515659763.718,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659763.968,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659764.016,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659764.097,0,-32,0,3,21.00,4
0x107010349013305354381888,1515659764.300,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659764.402,0,-32,0,3,21.00,4
0x107010349013305354381888,1515659764.472,0,-32,0,3,21.00,4
0x107010349013305354381888,1515659764.673,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659764.833,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659764.909,0,-34,0,3,21.00,3
0x107010349013305354381888,1515659765.003,0,-32,0,3,21.00,4
0x107010349013305354381888,1515659765.070,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659765.111,0,-33,0,3,21.00,3
0x107010349013305354381888,1515659765.177,0,-33,0,4,21.00,4
0x107010349013305354381888,1515659765.207,0,-33,0,4,21.00,4
0x107010349013305354381888,1515659765.302,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659765.724,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659765.767,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659766.402,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659766.440,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659766.811,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659767.016,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659767.072,0,-34,0,4,21.00,3
0x107010349013305354381888,1515659767.247,0,-34,0,4,21.00,3
0x107010349013305354381888,1515659767.337,0,-33,0,4,21.00,4
0x107010349013305354381888,1515659767.384,0,-32,0,4,21.00,4
0x107010349013305354381888,1515659767.539,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659767.594,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659767.833,0,-33,0,4,21.00,3
0x107010349013305354381888,1515659767.873,0,-33,0,4,21.00,3
0x000000000000000000006081,1515659757.652,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659757.681,0,-28,0,2,21.00,4
0x000000000000000000006081,1515659758.589,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659758.771,0,-33,0,2,21.00,2
