MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:13:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1515654786.043,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654786.101,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654786.565,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654786.602,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654786.880,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654787.143,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654787.216,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654787.326,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654787.714,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654788.116,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654788.282,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654788.329,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654788.584,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654788.639,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654788.672,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654788.710,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654788.894,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654789.189,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654789.603,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654789.803,0,-33,0,3,21.00,4
0x107010349013305354381890,1515654789.872,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654790.080,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654790.337,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654790.404,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654790.571,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654790.861,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654790.922,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654791.116,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654791.422,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654791.715,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654791.795,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654791.962,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654792.053,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654792.109,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654792.274,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654792.332,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654792.413,0,-33,0,4,21.00,1
0x107010349013305354381890,1515654793.139,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654793.170,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654793.431,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654793.473,0,-32,0,4,21.00,4
0x107010349013305354381890,1515654793.673,0,-34,0,1,21.00,3
0x107010349013305354381890,1515654793.749,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654793.792,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654793.986,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.020,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.160,0,-33,0,1,21.00,3
0x107010349013305354381890,1515654794.312,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.597,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.663,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.762,0,-33,0,1,21.00,3
0x107010349013305354381890,1515654794.812,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654794.857,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654795.130,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654795.220,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654795.412,0,-34,0,1,21.00,3
0x107010349013305354381890,1515654795.449,0,-34,0,1,21.00,4
0x107010349013305354381890,1515654795.508,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654795.672,0,-34,0,1,21.00,4
0x107010349013305354381890,1515654795.724,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654796.311,0,-33,0,1,21.00,4
0x107010349013305354381890,1515654796.340,0,-33,0,1,21.00,4
0x107010549013305354071900,1515654786.058,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.114,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.400,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.637,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.668,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.946,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654786.982,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654787.669,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654788.381,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654788.432,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654788.682,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654788.726,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654788.987,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654789.024,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654789.263,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654789.320,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654789.593,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654789.642,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654790.660,0,-33,0,4,21.00,1
0x107010549013305354071900,1515654790.690,0,-33,0,4,21.00,1
0x107010549013305354071900,1515654792.062,0,-33,0,4,21.00,1
0x107010549013305354071900,1515654792.387,0,-34,0,4,21.00,1
0x107010549013305354071900,1515654794.360,0,-32,0,1,21.00,1
0x107010549013305354071900,1515654794.438,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654794.908,0,-32,0,1,21.00,1
0x107010549013305354071900,1515654794.977,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654795.169,0,-34,0,1,21.00,4
0x107010549013305354071900,1515654795.277,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654795.771,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654795.814,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654795.984,0,-34,0,1,21.00,4
0x107010549013305354071900,1515654796.066,0,-33,0,1,21.00,1
0x107010549013305354071900,1515654796.102,0,-33,0,1,21.00,1
0x000000000000000000006061,1515654786.067,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654786.140,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654786.197,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654786.231,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654786.274,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654786.341,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654786.391,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654786.478,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654786.536,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654786.581,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654786.628,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654786.695,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654786.779,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654786.816,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654786.865,0,-25,0,3,21.00,4
0x000000000000000000006061,1515654786.935,0,-29,0,3,21.00,1
0x000000000000000000006061,1515654786.992,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654787.029,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654787.077,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654787.131,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654787.177,0,-25,0,3,21.00,4
0x000000000000000000006061,1515654787.243,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654787.298,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654787.445,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654787.480,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654787.536,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654787.582,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654787.656,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654787.691,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654787.751,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654787.781,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654787.825,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654787.870,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654787.955,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654787.982,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654788.035,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.084,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.160,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654788.200,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654788.259,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.296,0,-25,0,3,21.00,4
0x000000000000000000006061,1515654788.391,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654788.464,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654788.505,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654788.561,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.607,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.856,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.902,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654788.972,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654789.033,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654789.067,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654789.105,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654789.158,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654789.193,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654789.279,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654789.308,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654789.468,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654789.516,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654789.689,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654789.750,0,-29,0,3,21.00,3
0x000000000000000000006061,1515654789.775,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654789.832,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654789.947,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654790.007,0,-25,0,4,21.00,4
0x000000000000000000006061,1515654790.068,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654790.138,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654790.179,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654790.233,0,-25,0,4,21.00,4
0x000000000000000000006061,1515654790.272,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654790.360,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654790.436,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654790.509,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654790.535,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654790.577,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654790.740,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654790.814,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654790.841,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654790.893,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654790.999,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654791.022,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654791.081,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654791.123,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654791.194,0,-27,0,4,21.00,3
0x000000000000000000006061,1515654791.271,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654791.325,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654791.389,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654791.453,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654791.511,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654791.544,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654791.587,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654791.631,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654791.703,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654791.745,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654791.844,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654791.862,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654791.906,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654791.969,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.142,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654792.188,0,-27,0,4,21.00,3
0x000000000000000000006061,1515654792.239,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654792.289,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.372,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654792.433,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654792.500,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654792.565,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.613,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.687,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654792.781,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.821,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654792.897,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654792.986,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654793.040,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654793.061,0,-28,0,4,21.00,3
0x000000000000000000006061,1515654793.117,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654793.158,0,-27,0,4,21.00,4
0x000000000000000000006061,1515654793.239,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654793.282,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654793.367,0,-29,0,4,21.00,3
0x000000000000000000006061,1515654793.418,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654793.456,0,-26,0,4,21.00,4
0x000000000000000000006061,1515654793.524,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654793.585,0,-29,0,4,21.00,1
0x000000000000000000006061,1515654793.664,0,-29,0,1,21.00,3
0x000000000000000000006061,1515654793.702,0,-29,0,1,21.00,3
0x000000000000000000006061,1515654793.729,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654793.776,0,-25,0,1,21.00,4
0x000000000000000000006061,1515654793.957,0,-27,0,1,21.00,4
0x000000000000000000006061,1515654794.004,0,-25,0,1,21.00,4
0x000000000000000000006061,1515654794.088,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654794.194,0,-28,0,1,21.00,3
0x000000000000000000006061,1515654794.240,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654794.284,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654794.370,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654794.447,0,-30,0,1,21.00,1
0x000000000000000000006061,1515654794.517,0,-29,0,1,21.00,3
0x000000000000000000006061,1515654794.576,0,-27,0,1,21.00,4
0x000000000000000000006061,1515654794.625,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654794.719,0,-29,0,1,21.00,3
0x000000000000000000006061,1515654794.830,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654794.896,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654794.954,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654795.105,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654795.155,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654795.260,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654795.304,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654795.437,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654795.481,0,-27,0,1,21.00,4
0x000000000000000000006061,1515654795.551,0,-28,0,1,21.00,3
0x000000000000000000006061,1515654795.698,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654795.784,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654795.882,0,-28,0,1,21.00,3
0x000000000000000000006061,1515654795.944,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654795.990,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654796.076,0,-31,0,1,21.00,1
0x000000000000000000006061,1515654796.273,0,-26,0,1,21.00,4
0x000000000000000000006061,1515654796.326,0,-27,0,1,21.00,4
0x00b07a139010bc913000c7d3,1515654786.091,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654786.354,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654786.410,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654786.680,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654786.959,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654787.256,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654787.315,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654788.372,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654788.417,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654788.997,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654789.291,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654789.584,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654789.621,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654790.347,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654790.381,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654790.647,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654790.707,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654791.403,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654791.440,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654791.725,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.041,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.087,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.359,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.422,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.918,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654792.973,0,-31,0,4,21.00,1
