MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:10:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515654584.528,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654584.579,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654584.845,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654584.910,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654585.124,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654585.432,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654585.760,0,-33,0,3,21.00,3
0x107010249722621700351874,1515654586.006,0,-33,0,3,21.00,3
0x107010249722621700351874,1515654586.052,0,-33,0,3,21.00,3
0x107010249722621700351874,1515654587.264,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654587.618,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654587.968,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654588.263,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654588.601,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654588.842,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654588.902,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654589.146,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654589.196,0,-31,0,4,21.00,3
0x107010249722621700351874,1515654589.454,0,-31,0,4,21.00,3
0x107010249722621700351874,1515654589.518,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654589.823,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654590.588,0,-33,0,4,21.00,3
0x107010249722621700351874,1515654591.735,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654591.794,0,-33,0,4,21.00,3
0x107010249722621700351874,1515654592.000,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654592.190,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654592.256,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654592.410,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654592.919,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654593.233,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654593.271,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654594.203,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654594.482,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654594.529,0,-32,0,1,21.00,3
0x107010145263633097661866,1515654584.539,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654584.599,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654584.893,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654585.179,0,-32,0,3,21.00,4
0x107010145263633097661866,1515654585.375,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654585.413,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654585.695,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654585.745,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654586.291,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654586.356,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654586.598,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654586.764,0,-33,0,3,21.00,4
0x107010145263633097661866,1515654587.129,0,-32,0,3,21.00,4
0x107010145263633097661866,1515654587.325,0,-32,0,3,21.00,3
0x107010145263633097661866,1515654587.581,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654587.630,0,-33,0,3,21.00,3
0x107010145263633097661866,1515654588.556,0,-32,0,4,21.00,3
0x107010145263633097661866,1515654588.693,0,-33,0,4,21.00,4
0x107010145263633097661866,1515654589.753,0,-33,0,4,21.00,3
0x107010145263633097661866,1515654590.235,0,-33,0,4,21.00,3
0x107010145263633097661866,1515654590.558,0,-33,0,4,21.00,3
0x107010145263633097661866,1515654590.822,0,-33,0,4,21.00,3
0x107010145263633097661866,1515654590.885,0,-33,0,4,21.00,3
