MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:17:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515654999.270,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654999.329,0,-33,0,3,21.00,1
0x107010549013305354071900,1515654999.587,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655000.081,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655000.164,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655000.567,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655000.610,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655000.877,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655001.198,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655001.507,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655002.788,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655002.837,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655003.346,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655003.399,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655003.926,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655003.976,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655004.236,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655004.265,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655004.715,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655004.751,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655005.326,0,-33,0,4,21.00,4
0x107010549013305354071900,1515655005.548,0,-34,0,4,21.00,4
0x107010549013305354071900,1515655005.722,0,-34,0,4,21.00,4
0x107010549013305354071900,1515655005.933,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655006.117,0,-34,0,4,21.00,4
0x107010549013305354071900,1515655006.579,0,-34,0,4,21.00,4
0x107010549013305354071900,1515655006.659,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655006.698,0,-33,0,4,21.00,1
0x107010549013305354071900,1515655006.868,0,-34,0,1,21.00,4
0x107010549013305354071900,1515655006.934,0,-34,0,1,21.00,4
0x107010549013305354071900,1515655007.049,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655007.330,0,-34,0,1,21.00,4
0x107010549013305354071900,1515655007.661,0,-33,0,1,21.00,1
0x107010549013305354071900,1515655007.964,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655007.994,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655008.404,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655008.447,0,-33,0,1,21.00,1
0x107010549013305354071900,1515655008.914,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655008.975,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655009.461,0,-32,0,1,21.00,1
0x107010549013305354071900,1515655009.499,0,-32,0,1,21.00,1
0x107010349013305354381890,1515654999.281,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654999.513,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654999.570,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654999.616,0,-33,0,3,21.00,1
0x107010349013305354381890,1515654999.796,0,-32,0,3,21.00,4
0x107010349013305354381890,1515654999.840,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655000.450,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655000.594,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655000.856,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655000.918,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655001.421,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655001.743,0,-34,0,3,21.00,1
0x107010349013305354381890,1515655001.941,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655001.982,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.051,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655002.099,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655002.250,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.324,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.527,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.708,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.738,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655002.807,0,-33,0,3,21.00,1
0x107010349013305354381890,1515655003.027,0,-32,0,3,21.00,4
0x107010349013305354381890,1515655003.246,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655003.303,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655003.358,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655003.546,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655003.588,0,-31,0,4,21.00,4
0x107010349013305354381890,1515655003.652,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655003.836,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655003.875,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655003.937,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655003.986,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655004.150,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655004.247,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655004.498,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655004.535,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655004.938,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655005.149,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655005.305,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655005.363,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655005.538,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655005.566,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655005.741,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655005.886,0,-33,0,4,21.00,1
0x107010349013305354381890,1515655006.070,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655006.127,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655006.208,0,-34,0,4,21.00,3
0x107010349013305354381890,1515655006.289,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655006.569,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655006.599,0,-32,0,4,21.00,4
0x107010349013305354381890,1515655006.878,0,-33,0,1,21.00,4
0x107010349013305354381890,1515655006.924,0,-33,0,1,21.00,4
0x107010349013305354381890,1515655008.844,0,-34,0,1,21.00,4
0x107010349013305354381890,1515655009.282,0,-34,0,1,21.00,3
0x107010349013305354381890,1515655009.413,0,-33,0,1,21.00,4
0x107010349013305354381888,1515654999.291,0,-32,0,3,21.00,1
0x107010349013305354381888,1515654999.560,0,-32,0,3,21.00,1
0x107010349013305354381888,1515654999.605,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655000.131,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655000.576,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655000.866,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655000.906,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.187,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.216,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.497,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.540,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.725,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655001.778,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655002.066,0,-32,0,3,21.00,1
0x107010349013305354381888,1515655003.337,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655003.389,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655003.628,0,-31,0,4,21.00,1
0x107010349013305354381888,1515655003.672,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655003.947,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655004.226,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655004.282,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655004.730,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655004.927,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655004.958,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655005.128,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655005.172,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655005.804,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655005.908,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655006.680,0,-32,0,4,21.00,1
0x107010349013305354381888,1515655006.976,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655007.019,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655007.272,0,-33,0,1,21.00,4
0x107010349013305354381888,1515655007.319,0,-33,0,1,21.00,4
0x107010349013305354381888,1515655007.415,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655007.516,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655007.604,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655007.670,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655008.029,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655008.113,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655008.176,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655008.207,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655008.385,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655008.436,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655008.525,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655008.788,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655008.824,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655008.862,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655008.924,0,-32,0,1,21.00,1
0x107010349013305354381888,1515655008.955,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655009.043,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655009.103,0,-34,0,1,21.00,3
0x107010349013305354381888,1515655009.142,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655009.197,0,-34,0,1,21.00,4
0x107010349013305354381888,1515655009.471,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655009.520,0,-33,0,1,21.00,1
0x107010349013305354381888,1515655009.573,0,-34,0,1,21.00,3
0x00b07a139010bc913000c7d3,1515654999.316,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655000.094,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655000.155,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655000.549,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655000.621,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655000.895,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.175,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.226,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.481,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.528,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.699,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655001.763,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655002.038,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655002.090,0,-30,0,3,21.00,1
