MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:01:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515654068.217,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654068.249,0,-28,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654068.494,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654068.530,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654068.785,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654068.819,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.079,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.124,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.423,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.470,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.633,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.665,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.889,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654069.927,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.194,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.235,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.460,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.510,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.736,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654070.767,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654071.247,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654071.280,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654071.743,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654071.783,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654072.167,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654072.205,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654072.447,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654072.514,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654072.781,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.049,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.080,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.333,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.373,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.543,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654073.572,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.033,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.065,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.399,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.449,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.704,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654074.768,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654075.102,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654075.135,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654075.378,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654075.448,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654075.814,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654076.476,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654076.535,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654076.910,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654076.965,0,-30,0,1,21.00,1
