MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:19:07 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515655133.163,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655133.222,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655133.535,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655133.580,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.062,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.119,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.370,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.426,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.690,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.738,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655134.989,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.034,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.270,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.328,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.589,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.617,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655135.802,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655136.137,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655136.196,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655136.682,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655136.736,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655137.020,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655137.105,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655137.407,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655137.664,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655137.726,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655137.990,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.263,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.319,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.592,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.637,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.892,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655138.933,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655139.988,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655140.064,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655140.301,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655140.568,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655140.628,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655141.048,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.071,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.333,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.393,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.678,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.931,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655141.973,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655142.965,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655143.024,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655143.515,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655143.550,0,-30,0,1,21.00,1
0x107010549013305354071900,1515655133.173,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655133.243,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655133.548,0,-33,0,3,21.00,1
0x107010549013305354071900,1515655133.595,0,-33,0,3,21.00,1
