MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:54:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515671655.982,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671656.030,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671656.291,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671656.339,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671656.508,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671656.557,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671656.736,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671656.764,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671657.013,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671657.066,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.246,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.295,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.354,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671657.394,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671657.503,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.551,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671657.636,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671657.812,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.856,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671657.947,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671658.032,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671658.073,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671658.145,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671658.180,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671658.224,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671658.272,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671658.459,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671658.689,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671658.737,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.000,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.049,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671659.125,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671659.204,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671659.249,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.385,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.428,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.603,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671659.650,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671659.728,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671659.782,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671659.836,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671659.875,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.041,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.084,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.146,0,-33,0,3,21.00,4
0x107010349013305354381889,1515671660.189,0,-33,0,3,21.00,4
0x107010349013305354381889,1515671660.244,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.316,0,-30,0,3,21.00,3
0x107010349013305354381889,1515671660.367,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.396,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.570,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.611,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.807,0,-30,0,3,21.00,3
0x107010349013305354381889,1515671660.838,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671660.905,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671660.949,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671660.991,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671661.028,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671661.117,0,-32,0,3,21.00,4
