MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:54:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515664444.129,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664444.179,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664444.420,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664444.465,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664444.736,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664444.773,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664445.029,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664445.077,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664445.347,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664445.395,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664445.755,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664445.804,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664446.082,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664446.129,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664446.399,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664446.442,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664446.601,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664446.649,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664446.905,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664446.950,0,-22,0,3,21.00,2
0x000000000000000000006031,1515664447.299,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664447.349,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664447.615,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664447.662,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664448.021,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664448.074,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664448.427,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664448.473,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664448.830,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664448.876,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664449.132,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664449.168,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664449.521,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664449.561,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664449.725,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664449.772,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664450.116,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664450.163,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664450.339,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664450.382,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664450.642,0,-23,0,4,21.00,2
0x000000000000000000006031,1515664450.690,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664450.929,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664450.969,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664451.231,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664451.277,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664451.642,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664451.683,0,-22,0,4,21.00,2
0x000000000000000000006031,1515664451.892,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664451.946,0,-24,0,1,21.00,1
0x000000000000000000006031,1515664452.006,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664452.055,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664452.295,0,-24,0,1,21.00,1
0x000000000000000000006031,1515664452.351,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664452.408,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664452.447,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664452.696,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664452.749,0,-24,0,1,21.00,1
0x000000000000000000006031,1515664452.811,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664452.862,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664453.122,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664453.169,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664453.233,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664453.285,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664453.530,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664453.579,0,-23,0,1,21.00,1
0x000000000000000000006031,1515664453.635,0,-20,0,1,21.00,2
0x000000000000000000006031,1515664453.679,0,-21,0,1,21.00,2
0x107010449013305354211892,1515664444.143,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664444.191,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664444.447,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664444.500,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664444.753,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664444.795,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.063,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.094,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.363,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.426,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.789,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664445.828,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.095,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.140,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.416,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.456,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.624,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.673,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.939,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664446.980,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664447.311,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664447.370,0,-33,0,3,21.00,2
0x107010449013305354211892,1515664447.647,0,-32,0,3,21.00,2
0x107010449013305354211892,1515664447.689,0,-32,0,3,21.00,2
0x107010449013305354211892,1515664448.046,0,-32,0,4,21.00,2
0x107010449013305354211892,1515664448.107,0,-32,0,4,21.00,2
0x107010449013305354211892,1515664448.460,0,-32,0,4,21.00,2
0x107010449013305354211892,1515664448.491,0,-32,0,4,21.00,2
0x107010449013305354211892,1515664448.863,0,-32,0,4,21.00,2
0x107010449013305354211892,1515664448.907,0,-32,0,4,21.00,2
