MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:50:42 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517377829.989,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377830.038,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377830.089,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377830.135,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377830.316,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377830.609,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377830.662,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377830.874,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377830.974,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.098,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.295,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.328,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.478,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377831.516,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377831.588,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.694,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.735,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377831.983,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377832.037,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377832.244,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377832.438,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377832.491,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377832.727,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377832.780,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377832.827,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377832.994,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377833.059,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377833.243,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377833.441,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377833.571,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377833.619,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377833.709,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377833.977,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377834.030,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377834.090,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377834.154,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377834.184,0,-32,0,1,21.00,2
