MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:54:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517378055.113,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378055.181,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378055.271,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378055.458,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378055.647,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378055.693,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378055.859,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378055.889,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378055.943,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.001,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.182,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378056.273,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.313,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.385,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378056.487,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.533,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.711,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378056.811,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378056.857,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.137,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.196,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.365,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.407,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.599,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378057.680,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378057.992,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.158,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.196,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.362,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.507,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378058.707,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.749,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378058.811,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378059.026,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378059.262,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378059.336,0,-34,0,1,21.00,4
0x107010349013305354381890,1517378059.540,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378059.582,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378059.764,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378059.821,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378060.183,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378060.245,0,-29,0,1,21.00,3
0x107010349013305354381890,1517378060.302,0,-34,0,1,21.00,4
