MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:08:38 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515658100.879,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658100.928,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658101.100,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658101.147,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658101.328,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658101.369,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658101.532,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658101.571,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658101.854,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658101.899,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658102.072,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658102.125,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658102.215,0,-34,0,2,21.00,4
0x107010349013305354381889,1515658102.391,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658102.436,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658102.610,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658102.649,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658102.831,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658102.875,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658103.042,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.119,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.205,0,-33,0,2,21.00,4
0x107010349013305354381889,1515658103.339,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.382,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.470,0,-33,0,2,21.00,4
0x107010349013305354381889,1515658103.562,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658103.606,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.698,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.747,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.834,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658103.873,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658104.266,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658104.304,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658104.661,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658104.701,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658104.874,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658104.927,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658105.000,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658105.046,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658105.148,0,-33,0,3,21.00,4
0x107010349013305354381889,1515658105.237,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658105.297,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658105.480,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658105.515,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658105.589,0,-33,0,3,21.00,4
0x107010349013305354381889,1515658105.739,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658105.806,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658105.853,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.027,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658106.071,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.229,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.275,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658106.523,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658106.570,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.640,0,-33,0,3,21.00,4
0x107010349013305354381889,1515658106.682,0,-33,0,3,21.00,4
0x107010349013305354381889,1515658106.735,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.791,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658106.962,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658107.001,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658107.079,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.130,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.297,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.339,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.599,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.649,0,-28,0,3,21.00,3
0x107010349013305354381889,1515658107.821,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658107.874,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658108.171,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658108.185,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658108.289,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658108.306,0,-29,0,3,21.00,3
0x107010349013305354381889,1515658108.377,0,-32,0,3,21.00,4
0x107010349013305354381889,1515658108.618,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658109.108,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658109.154,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658109.264,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658109.457,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658109.470,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658109.938,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658109.986,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658110.063,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658110.111,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658110.288,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658110.481,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658110.761,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658110.810,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658110.994,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658111.049,0,-28,0,4,21.00,3
0x107010249722621700351874,1515658100.897,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658100.960,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658101.141,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658101.363,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658101.892,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658102.430,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658102.631,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658102.665,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658103.375,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658103.574,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658103.649,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658103.730,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658103.766,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658104.081,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658104.299,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658104.682,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658104.740,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658104.938,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658105.038,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658105.249,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658105.328,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658105.510,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658105.832,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658106.082,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658106.257,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658106.292,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658106.547,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658106.614,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658107.037,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658107.686,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658107.938,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658108.216,0,-32,0,3,21.00,3
0x107010249722621700351874,1515658108.592,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658109.315,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658109.484,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658109.676,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658110.270,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658110.302,0,-33,0,4,21.00,3
0x107010449013305354211893,1515658100.910,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658100.970,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658101.195,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658101.382,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658102.107,0,-35,0,2,21.00,3
0x107010449013305354211893,1515658102.137,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658103.847,0,-35,0,2,21.00,3
0x107010449013305354211893,1515658103.886,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658104.068,0,-35,0,2,21.00,3
0x107010449013305354211893,1515658104.131,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658104.334,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658104.639,0,-34,0,2,21.00,3
0x107010449013305354211893,1515658105.560,0,-34,0,3,21.00,3
0x107010449013305354211893,1515658105.752,0,-34,0,3,21.00,3
0x107010449013305354211893,1515658106.052,0,-34,0,3,21.00,3
0x107010449013305354211893,1515658106.301,0,-34,0,3,21.00,3
0x107010449013305354211893,1515658106.781,0,-34,0,3,21.00,3
