MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:05:39 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006111,1515657927.783,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657927.859,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657927.912,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657927.954,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657927.992,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657928.040,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657928.091,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657928.143,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657928.191,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657928.253,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657928.303,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657928.337,0,-20,0,2,21.00,2
0x000000000000000000006111,1515657928.386,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657928.422,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657928.479,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657928.525,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657928.578,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657928.625,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657928.679,0,-20,0,2,21.00,2
0x000000000000000000006111,1515657928.719,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657928.765,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657928.818,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657928.869,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657928.907,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657928.976,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657929.022,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657929.078,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.105,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.138,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657929.192,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657929.251,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657929.296,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657929.351,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657929.395,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657929.454,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.493,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.541,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657929.594,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657929.652,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657929.694,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657929.751,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657929.798,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657929.855,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.878,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657929.947,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657929.993,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657930.051,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657930.093,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657930.152,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657930.199,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657930.257,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657930.296,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657930.342,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657930.389,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657930.442,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657930.485,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657930.537,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657930.586,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657930.641,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657930.680,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657930.729,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657930.779,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657930.833,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657930.881,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657930.932,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657930.980,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657931.035,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657931.078,0,-19,0,2,21.00,2
0x000000000000000000006111,1515657931.125,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657931.173,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657931.231,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657931.283,0,-18,0,2,21.00,4
0x000000000000000000006111,1515657931.339,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657931.387,0,-24,0,2,21.00,1
0x000000000000000000006111,1515657931.444,0,-20,0,2,21.00,2
0x000000000000000000006111,1515657931.484,0,-20,0,2,21.00,2
0x000000000000000000006111,1515657931.529,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657931.586,0,-26,0,3,21.00,3
0x000000000000000000006111,1515657931.643,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657931.694,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657931.747,0,-23,0,3,21.00,1
0x000000000000000000006111,1515657931.792,0,-24,0,3,21.00,1
0x000000000000000000006111,1515657931.853,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657931.888,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657931.940,0,-26,0,3,21.00,3
0x000000000000000000006111,1515657931.991,0,-26,0,3,21.00,3
0x000000000000000000006111,1515657932.052,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657932.090,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657932.145,0,-24,0,3,21.00,1
0x000000000000000000006111,1515657932.192,0,-23,0,3,21.00,1
0x000000000000000000006111,1515657932.245,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657932.282,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657932.329,0,-26,0,3,21.00,3
0x000000000000000000006111,1515657932.376,0,-26,0,3,21.00,3
0x000000000000000000006111,1515657932.427,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657932.469,0,-18,0,3,21.00,4
0x000000000000000000006111,1515657932.523,0,-24,0,3,21.00,1
0x000000000000000000006111,1515657932.569,0,-24,0,3,21.00,1
0x000000000000000000006111,1515657932.625,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657932.663,0,-19,0,3,21.00,2
0x000000000000000000006111,1515657932.715,0,-25,0,3,21.00,3
