MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:09:12 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211896,1515672539.086,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672539.129,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672539.306,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672539.347,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672539.895,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672539.946,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672540.129,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672540.164,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672540.627,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672541.423,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672541.713,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672541.981,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.191,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.227,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.400,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.432,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.606,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.659,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.827,0,-34,0,2,21.00,3
0x107010449013305354211896,1515672542.873,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672543.022,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672543.084,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672543.294,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672543.689,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672543.981,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672545.708,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672546.317,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672546.371,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672546.546,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672546.583,0,-34,0,3,21.00,3
0x107010449013305354211896,1515672548.164,0,-35,0,4,21.00,3
0x107010249722621700351874,1515672539.099,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672539.138,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672539.326,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672539.698,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672539.736,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672540.417,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672540.617,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672540.651,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672540.791,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672540.873,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672541.135,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672541.433,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672541.488,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672541.990,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672542.181,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672542.457,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672542.671,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672542.863,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672543.008,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672543.285,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672543.459,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672543.488,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672543.679,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.018,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.176,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.207,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.417,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.709,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672544.727,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672545.276,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672545.482,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672545.515,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672545.919,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672546.140,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672546.344,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672546.946,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.137,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.184,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672547.282,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.501,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.701,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.749,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.931,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672547.964,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672548.382,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672548.435,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672548.599,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672548.645,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672548.793,0,-30,0,4,21.00,3
0x107010249722621700351874,1515672548.851,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672549.026,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672549.083,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672549.245,0,-31,0,4,21.00,3
0x107010249722621700351874,1515672549.299,0,-31,0,4,21.00,3
0x107010449013305354211892,1515672539.109,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672539.709,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672539.904,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672539.955,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672540.139,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672540.406,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672540.454,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672540.835,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672541.652,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672541.704,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672541.972,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672542.004,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672542.388,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672542.447,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672542.627,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672543.032,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672543.071,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672543.233,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672543.507,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672543.971,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672544.003,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672544.187,0,-32,0,3,21.00,3
0x107010449013305354211892,1515672544.408,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672544.451,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672544.699,0,-32,0,3,21.00,3
