MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:38:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514450284.846,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450284.870,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450284.908,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450284.952,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.009,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450285.039,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450285.106,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.132,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.181,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.225,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.272,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450285.323,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450285.380,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450285.406,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450285.442,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.493,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.550,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450285.583,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450285.641,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.671,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.706,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.749,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450285.807,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450285.843,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450285.900,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.924,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450285.959,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450286.008,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450286.070,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450286.107,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450286.163,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450286.190,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450286.228,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450286.275,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450286.327,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450286.365,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450286.469,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450286.498,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450286.531,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450286.577,0,-24,0,1,21.00,3
0x000000000000000000006101,1514450286.633,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450286.671,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450286.899,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450286.927,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450286.964,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.009,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.065,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.109,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.169,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.204,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.240,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.280,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.336,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.376,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.430,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.453,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.489,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.536,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.592,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450287.631,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.687,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.717,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450287.752,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.802,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450287.859,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.898,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450287.946,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450287.970,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450288.007,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.060,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.110,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450288.142,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450288.199,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450288.235,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450288.270,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.306,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.363,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450288.397,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450288.444,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450288.471,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450288.506,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.551,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450288.606,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450288.661,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450288.704,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450288.734,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450288.771,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450288.818,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450288.873,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450288.899,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450288.949,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450288.971,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450289.012,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.062,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.113,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.146,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450289.191,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450289.216,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450289.254,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.298,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.355,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.385,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.435,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450289.464,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450289.498,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.546,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.599,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.629,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.676,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450289.703,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450289.738,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.783,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450289.838,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.869,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450289.909,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450289.940,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450289.975,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.026,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.081,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450290.109,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450290.158,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450290.184,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450290.218,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.267,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.319,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450290.352,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450290.396,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450290.439,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450290.469,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.516,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.578,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450290.607,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450290.653,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450290.682,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450290.719,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.762,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450290.807,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450290.851,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450290.895,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450290.923,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450290.956,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.007,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.072,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450291.099,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450291.168,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450291.205,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.252,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.296,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450291.324,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450291.372,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450291.396,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450291.435,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.469,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.532,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450291.566,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450291.616,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450291.658,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450291.692,0,-24,0,2,21.00,3
0x000000000000000000006101,1514450291.730,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.788,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450291.814,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450291.872,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450291.899,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450291.938,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450291.984,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450292.038,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450292.067,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450292.115,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450292.142,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450292.177,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450292.221,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450292.281,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450292.306,0,-25,0,2,21.00,4
0x000000000000000000006101,1514450292.354,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450292.381,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450292.414,0,-25,0,2,21.00,3
0x000000000000000000006101,1514450292.477,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450292.532,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450292.564,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450292.607,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450292.635,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450292.671,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450292.718,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450292.769,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450292.797,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450292.845,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450292.871,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450292.907,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450292.960,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.015,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.043,0,-27,0,3,21.00,4
0x000000000000000000006101,1514450293.087,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450293.115,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450293.147,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.202,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.258,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.287,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.329,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450293.358,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450293.392,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.445,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.506,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.532,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450293.578,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450293.606,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450293.638,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.689,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.742,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.773,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450293.819,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450293.845,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450293.883,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.924,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450293.982,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.009,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.053,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450294.078,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450294.115,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.161,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.220,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450294.248,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450294.288,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450294.317,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450294.352,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.402,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.458,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.486,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.534,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450294.581,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450294.608,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.654,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.709,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.735,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.785,0,-22,0,3,21.00,2
0x000000000000000000006101,1514450294.811,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450294.846,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.884,0,-25,0,3,21.00,3
0x000000000000000000006101,1514450294.932,0,-26,0,3,21.00,4
0x000000000000000000006101,1514450294.958,0,-25,0,3,21.00,4
0x000000000000000000006101,1514450295.030,0,-22,0,3,21.00,2
0x000000000000000000001108,1514450284.921,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450284.972,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.200,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.250,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.464,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.523,0,-32,0,1,21.00,3
0x000000000000000000001108,1514450285.739,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.764,0,-33,0,1,21.00,3
0x000000000000000000001108,1514450285.982,0,-32,0,1,21.00,3
0x000000000000000000001108,1514450286.021,0,-33,0,1,21.00,3
