MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:27:27 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001116,1514449631.812,0,-32,0,2,21.00,1
0x000000000000000000001116,1514449631.852,0,-32,0,2,21.00,1
0x000000000000000000001116,1514449633.480,0,-33,0,2,21.00,4
0x000000000000000000001116,1514449635.260,0,-33,0,2,21.00,1
0x000000000000000000001116,1514449636.011,0,-32,0,3,21.00,1
0x000000000000000000001116,1514449636.058,0,-32,0,3,21.00,1
0x000000000000000000001116,1514449636.171,0,-32,0,3,21.00,1
0x000000000000000000001116,1514449636.209,0,-33,0,3,21.00,1
0x000000000000000000001116,1514449638.130,0,-33,0,3,21.00,4
0x000000000000000000001116,1514449639.802,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449640.011,0,-32,0,4,21.00,1
0x000000000000000000001116,1514449640.084,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449640.421,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449640.455,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449640.669,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449640.722,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.127,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.370,0,-32,0,4,21.00,3
0x000000000000000000001116,1514449641.422,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.547,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.625,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.826,0,-33,0,4,21.00,3
0x000000000000000000001116,1514449641.896,0,-33,0,4,21.00,3
0x000000000000000000001134,1514449631.920,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449631.985,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.007,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.089,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449632.166,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.191,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.399,0,-29,0,2,21.00,4
0x000000000000000000001134,1514449632.422,0,-29,0,2,21.00,4
0x000000000000000000001134,1514449632.582,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.610,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.759,0,-30,0,2,21.00,4
0x000000000000000000001134,1514449632.787,0,-30,0,2,21.00,4
