MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:01:05 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381891,1517374850.315,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374850.348,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374850.871,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374850.915,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374851.146,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374851.557,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374853.622,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374855.148,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374855.193,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374856.280,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374856.334,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374857.119,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374857.327,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374857.857,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374858.443,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374859.367,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374859.415,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374859.812,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374860.089,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374860.127,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374860.297,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374860.347,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374850.359,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374850.880,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374851.133,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374851.193,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374852.689,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374853.352,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374853.648,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374853.842,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374854.173,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374854.674,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374854.709,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374854.963,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374855.433,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374855.475,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374855.653,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374855.708,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374855.894,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374856.618,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374856.668,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374856.916,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374857.318,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374857.359,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374857.607,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374857.653,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374858.135,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374858.209,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374858.973,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374859.161,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374859.216,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374859.436,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374859.645,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374859.830,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374860.099,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374860.306,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374860.362,0,-34,0,1,21.00,3
0x107010349013305354381890,1517374850.378,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374850.890,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374851.323,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374851.383,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374851.544,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374851.602,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374851.824,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374851.876,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374852.032,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374852.094,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374852.365,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374852.415,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374852.679,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374852.828,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374853.269,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374853.316,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374853.593,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374853.607,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374853.810,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374853.827,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374854.148,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374854.181,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374854.457,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374854.477,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374854.931,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374854.991,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374855.163,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374855.443,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374855.457,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374855.697,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374855.864,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374855.918,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374856.132,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374856.321,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374856.594,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374856.894,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374856.934,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.094,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.144,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.369,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.620,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.827,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374857.873,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.147,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.420,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.468,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.753,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.931,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374858.961,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374859.135,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374859.183,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374859.592,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374859.635,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374859.854,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374860.117,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374860.320,0,-28,0,1,21.00,3
0x108010149872360088493237,1517374850.407,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374850.450,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374850.568,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374851.222,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374851.281,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374851.463,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374852.153,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374852.211,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374852.513,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374852.782,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374853.210,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374853.380,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374854.811,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374855.301,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374855.537,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374855.806,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374855.999,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374856.192,0,-31,0,1,21.00,4
0x108010149872360088493237,1517374856.370,0,-32,0,1,21.00,4
