MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:39:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514446741.141,0,-30,0,3,21.00,2
0x000000000000000000001278,1514446741.812,0,-30,0,3,21.00,2
0x000000000000000000001278,1514446741.844,0,-30,0,3,21.00,2
0x000000000000000000001278,1514446742.312,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446742.342,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446742.503,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446742.541,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446742.865,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446742.912,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.318,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.363,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.603,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.633,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.881,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446743.929,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.168,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.205,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.444,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.485,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.749,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446744.782,0,-29,0,3,21.00,2
0x000000000000000000001278,1514446745.152,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446745.192,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446745.858,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446745.891,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446746.142,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446746.177,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446746.961,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446747.000,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446747.255,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446747.299,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446747.547,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446747.593,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446748.308,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446748.353,0,-29,0,4,21.00,2
0x000000000000000000001278,1514446748.712,0,-33,0,1,21.00,4
0x000000000000000000001278,1514446749.060,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446749.230,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446749.510,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446749.559,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446749.816,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446750.093,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446750.118,0,-28,0,1,21.00,2
0x000000000000000000001278,1514446750.269,0,-33,0,1,21.00,4
0x000000000000000000001278,1514446750.334,0,-33,0,1,21.00,4
0x000000000000000000001278,1514446750.378,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446750.412,0,-29,0,1,21.00,2
0x000000000000000000001278,1514446750.875,0,-29,0,1,21.00,2
0x000000000000000000001102,1514446741.187,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446741.464,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446741.657,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446741.913,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446742.118,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446742.151,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446742.407,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446742.599,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.076,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.122,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.399,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.454,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.689,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.735,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446743.961,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.020,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.252,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.299,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.532,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.574,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.827,0,-32,0,3,21.00,3
0x000000000000000000001102,1514446744.916,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446745.447,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446745.495,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446745.661,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446745.931,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446745.998,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446746.340,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446746.392,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446746.775,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446747.087,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446747.332,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446747.377,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446747.667,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446747.911,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.099,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.147,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.383,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.429,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.610,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.664,0,-32,0,4,21.00,3
0x000000000000000000001102,1514446748.840,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446748.869,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446749.295,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446749.363,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446749.591,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446749.634,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.180,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.223,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.467,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.502,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.670,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.714,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446750.959,0,-32,0,1,21.00,3
0x000000000000000000001102,1514446751.003,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446741.196,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.233,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.272,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446741.339,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446741.411,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.452,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.492,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446741.563,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446741.677,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.755,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446741.903,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446741.959,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446742.048,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446742.383,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446742.430,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446742.579,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446742.636,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446742.717,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446742.969,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.000,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.242,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.419,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446743.506,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.548,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.801,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446743.970,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.005,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.059,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446744.312,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.396,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446744.541,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.587,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.643,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446744.703,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446744.877,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446744.970,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446745.031,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446745.254,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446745.434,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446745.483,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446745.650,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446745.681,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446745.768,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.039,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.281,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.355,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446746.403,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446746.444,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.497,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.594,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.764,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446746.807,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446746.849,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446746.899,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446747.049,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446747.113,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446747.216,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446747.394,0,-33,0,4,21.00,3
0x000000000000000000001108,1514446747.460,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446747.629,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446747.713,0,-33,0,4,21.00,3
0x000000000000000000001108,1514446747.798,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446747.885,0,-33,0,4,21.00,3
0x000000000000000000001108,1514446747.934,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446748.002,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446748.041,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446748.114,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446748.157,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446748.210,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446748.438,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446748.500,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446748.562,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446748.882,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446748.930,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446748.987,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446749.126,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446749.163,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446749.305,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446749.373,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446749.473,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446749.645,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446750.003,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446750.048,0,-33,0,1,21.00,4
0x000000000000000000001108,1514446750.166,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446750.214,0,-33,0,1,21.00,3
0x000000000000000000001108,1514446750.477,0,-33,0,1,21.00,3
