MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:12:07 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001134,1514448713.584,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448713.644,0,-30,0,3,21.00,4
0x000000000000000000001134,1514448713.878,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448713.968,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.005,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.086,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.167,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.364,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.529,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448714.603,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.728,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448714.940,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.209,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.253,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.415,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.455,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.823,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.859,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.934,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448715.993,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.046,0,-30,0,3,21.00,4
0x000000000000000000001134,1514448716.131,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.189,0,-30,0,3,21.00,4
0x000000000000000000001134,1514448716.267,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.356,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.404,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.493,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.525,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448716.590,0,-33,0,3,21.00,2
0x000000000000000000001134,1514448716.632,0,-33,0,3,21.00,2
0x000000000000000000001134,1514448716.750,0,-29,0,3,21.00,4
0x000000000000000000001134,1514448716.776,0,-29,0,3,21.00,4
0x000000000000000000001134,1514448717.440,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448717.487,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448717.551,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448717.607,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448717.813,0,-33,0,4,21.00,4
0x000000000000000000001134,1514448718.025,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.065,0,-33,0,4,21.00,4
0x000000000000000000001134,1514448718.262,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.460,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.508,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.708,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.905,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448718.950,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.043,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.096,0,-31,0,4,21.00,4
0x000000000000000000001134,1514448719.164,0,-31,0,4,21.00,4
0x000000000000000000001134,1514448719.197,0,-31,0,4,21.00,4
0x000000000000000000001134,1514448719.278,0,-30,0,4,21.00,4
0x000000000000000000001134,1514448719.362,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.655,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.721,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.891,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448719.935,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448720.566,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448720.622,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448720.844,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448720.963,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448721.034,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448721.092,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448721.285,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448721.527,0,-32,0,1,21.00,4
0x000000000000000000001134,1514448721.624,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448721.675,0,-32,0,1,21.00,4
0x000000000000000000001134,1514448721.768,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448721.968,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.075,0,-32,0,1,21.00,4
0x000000000000000000001134,1514448722.133,0,-32,0,1,21.00,4
0x000000000000000000001134,1514448722.199,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.257,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.322,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.387,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.528,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.589,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448722.927,0,-31,0,1,21.00,4
0x000000000000000000001105,1514448713.599,0,-34,0,3,21.00,4
0x000000000000000000001105,1514448713.671,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448713.738,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448713.767,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448714.443,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448714.576,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448714.673,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448714.719,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448714.895,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448715.115,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448715.163,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448715.401,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448715.445,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448715.835,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448716.091,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448716.222,0,-34,0,3,21.00,4
0x000000000000000000001105,1514448716.290,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448716.816,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448716.939,0,-33,0,3,21.00,4
0x000000000000000000001105,1514448717.151,0,-34,0,3,21.00,4
0x000000000000000000001105,1514448717.210,0,-34,0,3,21.00,4
0x000000000000000000001105,1514448717.792,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448717.838,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448719.453,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448719.880,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448719.945,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448720.612,0,-34,0,4,21.00,4
0x000000000000000000001105,1514448720.929,0,-34,0,4,21.00,4
0x000000000000000000000001,1514448713.622,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448713.662,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448713.829,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448713.868,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.117,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.330,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.375,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.555,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.686,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.869,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448714.922,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.023,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.219,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.271,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.424,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.591,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.631,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448715.958,0,-32,0,3,21.00,4
0x000000000000000000000001,1514448716.081,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448716.145,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448716.534,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448716.898,0,-33,0,3,21.00,4
0x000000000000000000000001,1514448717.164,0,-34,0,3,21.00,4
0x000000000000000000000001,1514448717.195,0,-34,0,3,21.00,4
0x000000000000000000000001,1514448717.562,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448717.617,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448717.802,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448717.848,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448718.043,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448718.487,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448718.924,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.057,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.189,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.305,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.339,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.433,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.475,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.673,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.711,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448719.901,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.096,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.139,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.361,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.398,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.771,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.820,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.919,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448720.950,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448721.047,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448721.101,0,-33,0,4,21.00,4
0x000000000000000000000001,1514448721.986,0,-34,0,1,21.00,4
0x000000000000000000000001,1514448722.098,0,-34,0,1,21.00,4
0x000000000000000000000001,1514448722.214,0,-34,0,1,21.00,4
0x000000000000000000001108,1514448713.632,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448713.953,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448713.996,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448714.095,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448714.156,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448714.214,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448714.278,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448714.340,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448714.459,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448714.540,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448714.705,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448714.998,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448715.058,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448715.137,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448715.601,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448715.641,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448715.735,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448715.921,0,-29,0,3,21.00,4
0x000000000000000000001108,1514448715.983,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448716.066,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448716.118,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448716.205,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.255,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.334,0,-30,0,3,21.00,4
0x000000000000000000001108,1514448716.417,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.544,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.731,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448716.793,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.872,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448716.929,0,-31,0,3,21.00,4
0x000000000000000000001108,1514448717.068,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448717.176,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448717.332,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448717.366,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448717.456,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448717.577,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448717.709,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448717.931,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448718.013,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.077,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.151,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448718.186,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448718.241,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.284,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.380,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448718.472,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.521,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.609,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448718.699,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.728,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.826,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448718.915,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448718.960,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.033,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.081,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.178,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.227,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.293,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448719.352,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.443,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.492,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.582,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448719.683,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448719.798,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448719.846,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448719.991,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.035,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.087,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.124,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.199,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.300,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.371,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.453,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.519,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.554,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.596,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.666,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.719,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448720.786,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.833,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.901,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448720.976,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448721.080,0,-33,0,4,21.00,4
0x000000000000000000001108,1514448721.190,0,-33,0,1,21.00,3
0x000000000000000000001108,1514448721.268,0,-33,0,1,21.00,4
0x000000000000000000001108,1514448721.314,0,-33,0,1,21.00,4
0x000000000000000000001108,1514448721.377,0,-33,0,1,21.00,3
0x000000000000000000001108,1514448721.433,0,-33,0,1,21.00,3
0x000000000000000000001108,1514448721.478,0,-33,0,1,21.00,4
0x000000000000000000001108,1514448721.540,0,-33,0,1,21.00,4
