MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:29:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517376553.442,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376553.494,0,-30,0,1,21.00,2
0x000000000000000000004005,1517376553.553,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376554.032,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376554.060,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376554.238,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.088,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.288,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.469,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.512,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.711,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.925,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376555.989,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376556.192,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376556.478,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376556.506,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376556.891,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376556.937,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.138,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.248,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.423,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376557.476,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.542,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.789,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376557.976,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.173,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.232,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.447,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.650,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.827,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376558.880,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376559.344,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376559.606,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376559.655,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376559.861,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.044,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.074,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.260,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.485,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.706,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.906,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376560.948,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376561.177,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376561.235,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376561.597,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376561.885,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.043,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.101,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.305,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.492,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.525,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.722,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376562.953,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376563.022,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376563.079,0,-29,0,1,21.00,3
0x107010549013305354071900,1517376553.459,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376553.504,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376554.069,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376554.445,0,-34,0,1,21.00,3
