MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:16:20 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001102,1514362561.592,0,-32,0,4,21.00,3
0x000000000000000000001102,1514362561.631,0,-32,0,4,21.00,3
0x000000000000000000001102,1514362561.923,0,-32,0,4,21.00,3
0x000000000000000000001102,1514362561.993,0,-32,0,4,21.00,3
0x000000000000000000001102,1514362562.229,0,-32,0,4,21.00,3
0x000000000000000000001102,1514362562.682,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362562.878,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362562.937,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362563.151,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362563.361,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362563.681,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362563.716,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362564.651,0,-33,0,4,21.00,3
0x000000000000000000001102,1514362566.612,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362566.678,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362566.979,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362567.243,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362567.336,0,-33,0,1,21.00,4
0x000000000000000000001102,1514362567.610,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362567.675,0,-33,0,1,21.00,4
0x000000000000000000001102,1514362567.952,0,-33,0,1,21.00,4
0x000000000000000000001102,1514362569.087,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362569.149,0,-33,0,1,21.00,3
0x000000000000000000001102,1514362569.352,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362569.394,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362569.476,0,-33,0,2,21.00,4
0x000000000000000000001102,1514362569.587,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362569.966,0,-33,0,2,21.00,4
0x000000000000000000001102,1514362570.079,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362570.201,0,-33,0,2,21.00,4
0x000000000000000000001102,1514362570.423,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362570.484,0,-33,0,2,21.00,4
0x000000000000000000001102,1514362570.678,0,-33,0,2,21.00,3
0x000000000000000000001102,1514362570.750,0,-33,0,2,21.00,3
0x000000000000000000001116,1514362561.602,0,-33,0,4,21.00,3
0x000000000000000000001116,1514362561.653,0,-33,0,4,21.00,3
0x000000000000000000001116,1514362562.206,0,-33,0,4,21.00,3
0x000000000000000000001116,1514362562.658,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362563.351,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362563.409,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362563.736,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362563.963,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362564.380,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362564.452,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362564.679,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362565.113,0,-32,0,4,21.00,3
0x000000000000000000001116,1514362565.523,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362565.753,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362566.036,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362566.113,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362566.297,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362566.735,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362566.753,0,-30,0,1,21.00,4
0x000000000000000000001116,1514362567.005,0,-31,0,1,21.00,4
0x000000000000000000001116,1514362567.069,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362567.685,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362567.742,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362567.889,0,-30,0,1,21.00,4
0x000000000000000000001116,1514362567.973,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362568.195,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362568.498,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362568.567,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362568.762,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362568.827,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362569.042,0,-32,0,1,21.00,4
0x000000000000000000001116,1514362569.280,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362569.452,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362569.537,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362569.632,0,-33,0,2,21.00,3
0x000000000000000000001116,1514362569.736,0,-33,0,2,21.00,4
0x000000000000000000001116,1514362569.874,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362570.054,0,-33,0,2,21.00,3
0x000000000000000000001116,1514362570.126,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362570.433,0,-33,0,2,21.00,3
0x000000000000000000001116,1514362570.739,0,-33,0,2,21.00,3
0x000000000000000000001116,1514362570.800,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362570.862,0,-32,0,2,21.00,4
0x000000000000000000001116,1514362571.074,0,-32,0,2,21.00,4
0x000000000000000000001107,1514362561.612,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362561.698,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362561.770,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362561.972,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362562.068,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362562.267,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362562.439,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362562.525,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362562.627,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362562.796,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362562.979,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362563.030,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362563.100,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362563.397,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362563.691,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362563.932,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362563.973,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362564.244,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362564.305,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362564.524,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362564.742,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362564.801,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362564.891,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362565.002,0,-33,0,4,21.00,4
0x000000000000000000001107,1514362565.123,0,-32,0,4,21.00,3
0x000000000000000000001107,1514362565.917,0,-33,0,1,21.00,3
0x000000000000000000001107,1514362565.947,0,-33,0,1,21.00,3
0x000000000000000000001107,1514362566.170,0,-33,0,1,21.00,3
0x000000000000000000001107,1514362566.204,0,-33,0,1,21.00,3
0x000000000000000000001107,1514362566.503,0,-34,0,1,21.00,4
