MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:13:49 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514362409.851,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362409.895,0,-24,0,4,21.00,3
0x000000000000000000001278,1514362409.974,0,-28,0,4,21.00,4
0x000000000000000000001278,1514362409.997,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.062,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.100,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.158,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.199,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.265,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362410.325,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362410.358,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.407,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.460,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.514,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.591,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362410.627,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362410.663,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.724,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.781,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.823,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362410.902,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362410.949,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.005,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.055,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.154,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362411.201,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362411.314,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.369,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.427,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.472,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.539,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362411.587,0,-31,0,4,21.00,1
0x000000000000000000001278,1514362411.648,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.693,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.750,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.799,0,-27,0,4,21.00,4
0x000000000000000000001278,1514362411.876,0,-25,0,4,21.00,3
0x000000000000000000001278,1514362411.924,0,-25,0,4,21.00,3
