MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:58:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001203,1514365103.912,0,-32,0,3,21.00,2
0x000000000000000000001203,1514365103.956,0,-32,0,3,21.00,2
0x000000000000000000001203,1514365108.209,0,-32,0,4,21.00,2
0x000000000000000000001203,1514365108.281,0,-32,0,4,21.00,2
0x000000000000000000004001,1514365103.922,0,-32,0,3,21.00,2
0x000000000000000000004001,1514365103.968,0,-32,0,3,21.00,2
0x000000000000000000004001,1514365107.008,0,-32,0,3,21.00,2
0x000000000000000000004001,1514365107.049,0,-32,0,3,21.00,2
0x000000000000000000004001,1514365108.238,0,-32,0,4,21.00,2
0x000000000000000000004001,1514365108.877,0,-32,0,4,21.00,3
0x000000000000000000004001,1514365112.790,0,-32,0,1,21.00,3
0x000000000000000000004001,1514365112.845,0,-32,0,1,21.00,3
0x000000000000000000004001,1514365113.095,0,-32,0,1,21.00,3
0x000000000000000000000017,1514365103.931,0,-34,0,3,21.00,2
0x000000000000000000000017,1514365107.023,0,-34,0,3,21.00,2
0x000000000000000000000017,1514365107.066,0,-34,0,3,21.00,2
0x000000000000000000000017,1514365108.223,0,-34,0,4,21.00,2
0x000000000000000000000017,1514365108.268,0,-34,0,4,21.00,2
0x000000000000000000001108,1514365104.013,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365104.069,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365104.228,0,-33,0,3,21.00,3
0x000000000000000000001108,1514365104.282,0,-33,0,3,21.00,3
0x000000000000000000001108,1514365104.382,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365104.680,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365104.869,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.048,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.089,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.192,0,-33,0,3,21.00,3
0x000000000000000000001108,1514365105.253,0,-33,0,3,21.00,3
0x000000000000000000001108,1514365105.338,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.497,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.554,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.711,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.756,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.823,0,-32,0,3,21.00,4
0x000000000000000000001108,1514365105.899,0,-32,0,3,21.00,4
