MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:08:52 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515672518.215,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672518.268,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672518.439,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672518.485,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672518.738,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672518.769,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.050,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.098,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.361,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.399,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.641,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672519.709,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672520.080,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672520.322,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672520.353,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672520.801,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672520.849,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672521.034,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672521.081,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672521.317,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672521.367,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672521.602,0,-33,0,2,21.00,3
0x107010449013305354211892,1515672522.043,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672522.115,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672522.389,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672522.543,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672522.822,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.028,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.207,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.395,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.454,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.516,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.580,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.790,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672523.834,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.035,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.067,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.156,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.184,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.361,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672524.416,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672525.047,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672525.349,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672525.407,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672525.562,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672525.601,0,-33,0,3,21.00,3
0x107010449013305354211892,1515672526.128,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672526.169,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672526.484,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672526.534,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672526.615,0,-33,0,4,21.00,3
0x107010449013305354211892,1515672526.646,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.113,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.301,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.357,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.515,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.569,0,-32,0,4,21.00,3
0x107010449013305354211892,1515672527.737,0,-33,0,4,21.00,3
0x107010449013305354211892,1515672527.782,0,-33,0,4,21.00,3
0x107010449013305354211892,1515672528.391,0,-33,0,4,21.00,3
0x107010249722621700351874,1515672518.228,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672518.250,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672518.458,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672518.726,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672518.782,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672519.076,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672519.342,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672519.684,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672520.043,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672520.519,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672520.873,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672521.050,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672521.334,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672521.624,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672521.660,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672521.975,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672522.033,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672522.125,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672522.166,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672522.349,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672522.609,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672522.797,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672522.982,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672523.225,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672523.407,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672523.444,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672523.542,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672524.166,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672524.662,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672524.718,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672524.908,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.038,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.073,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.368,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.419,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.613,0,-32,0,3,21.00,3
0x107010249722621700351874,1515672525.827,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.035,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.151,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.257,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.305,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.506,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.627,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.862,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672526.896,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672527.103,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672527.141,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672527.726,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672527.769,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672527.973,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672528.190,0,-32,0,4,21.00,3
0x107010249722621700351874,1515672528.382,0,-32,0,4,21.00,3
0x107010349013305354381889,1515672518.277,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672518.315,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672518.361,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672518.430,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672518.495,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672518.546,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672518.576,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672518.749,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672518.836,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672518.866,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672519.063,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672519.108,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672519.177,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672519.225,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672519.412,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672519.511,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672519.673,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672519.749,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672519.797,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.018,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672520.051,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672520.117,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.156,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.313,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672520.461,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.541,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672520.623,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.666,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.827,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672520.911,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672520.969,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672521.067,0,-31,0,2,21.00,3
0x107010349013305354381889,1515672521.144,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672521.186,0,-32,0,2,21.00,4
