MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:11:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515672674.538,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672674.564,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672674.937,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672674.987,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672675.202,0,-34,0,2,21.00,4
0x107010549013305354071900,1515672675.341,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672675.681,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672675.724,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672676.059,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672676.093,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672676.421,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672676.467,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672676.837,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672676.884,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672677.242,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672677.287,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672677.630,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672677.699,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672678.049,0,-34,0,2,21.00,1
0x107010549013305354071900,1515672678.083,0,-33,0,2,21.00,1
0x107010549013305354071900,1515672678.478,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672678.511,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672678.837,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672678.875,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672679.205,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672679.265,0,-34,0,3,21.00,1
0x107010549013305354071900,1515672679.588,0,-34,0,3,21.00,1
0x107010549013305354071900,1515672679.619,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672679.969,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672680.009,0,-34,0,3,21.00,1
0x107010549013305354071900,1515672680.356,0,-34,0,3,21.00,1
0x107010549013305354071900,1515672680.392,0,-34,0,3,21.00,1
0x107010549013305354071900,1515672680.638,0,-34,0,3,21.00,4
0x107010549013305354071900,1515672680.766,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.107,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.136,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.477,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.524,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.873,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672681.909,0,-33,0,3,21.00,1
0x107010549013305354071900,1515672683.262,0,-34,0,4,21.00,4
0x107010549013305354071900,1515672683.587,0,-34,0,4,21.00,4
0x107010549013305354071900,1515672683.640,0,-34,0,4,21.00,4
0x107010549013305354071900,1515672683.690,0,-33,0,4,21.00,1
0x107010549013305354071900,1515672683.738,0,-34,0,4,21.00,1
0x000000000000000000006181,1515672674.550,0,-24,0,2,21.00,1
0x000000000000000000006181,1515672674.606,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672674.632,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672674.682,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672674.727,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672674.789,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672674.831,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672674.907,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672674.952,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672675.010,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.046,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.092,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.142,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.184,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672675.235,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672675.280,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672675.325,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672675.380,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.414,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.462,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.502,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.551,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672675.593,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672675.648,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672675.694,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672675.748,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.785,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672675.850,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.896,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672675.932,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672675.973,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672676.029,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672676.074,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672676.130,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672676.167,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672676.219,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672676.262,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672676.308,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672676.353,0,-18,0,2,21.00,4
0x000000000000000000006181,1515672676.405,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672676.453,0,-25,0,2,21.00,1
0x000000000000000000006181,1515672676.513,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672676.553,0,-17,0,2,21.00,2
0x000000000000000000006181,1515672676.605,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672676.658,0,-24,0,2,21.00,3
0x000000000000000000006181,1515672676.712,0,-18,0,2,21.00,4
