MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:26:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515673570.006,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673570.498,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673570.906,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673571.322,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673571.722,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673572.123,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673572.501,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673573.494,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673573.551,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673573.916,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673573.948,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673574.343,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673574.771,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673575.163,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673575.224,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673575.877,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673575.938,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673576.258,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673576.306,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673576.726,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673576.763,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673577.446,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673577.771,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673578.176,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673578.220,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673578.607,0,-34,0,4,21.00,1
0x107010549013305354071900,1515673579.005,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673579.410,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673579.809,0,-34,0,4,21.00,1
0x107010549013305354071900,1515673580.219,0,-33,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515673570.017,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673570.049,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673570.404,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673570.484,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673570.829,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673570.880,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673571.248,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673571.296,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673571.664,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673571.707,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673572.053,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673572.108,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673572.480,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673572.522,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673573.538,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673573.925,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673574.332,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673574.363,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673574.742,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673574.811,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673575.889,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673575.919,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673576.715,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673576.773,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673577.433,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673577.464,0,-32,0,3,21.00,1
0x000000000000000000006181,1515673570.027,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673570.066,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673570.118,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673570.174,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673570.224,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673570.289,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673570.335,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673570.394,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673570.471,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673570.513,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673570.562,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673570.618,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673570.658,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673570.716,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673570.761,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673570.841,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673570.892,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673570.922,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673570.970,0,-19,0,2,21.00,2
0x000000000000000000006181,1515673571.030,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.071,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.125,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673571.175,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673571.267,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673571.307,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673571.338,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673571.389,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673571.446,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.492,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.547,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673571.573,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673571.653,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673571.697,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673571.738,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673571.784,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673571.842,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.886,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673571.933,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673571.985,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673572.070,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673572.097,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673572.137,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.185,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.242,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673572.291,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673572.352,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673572.397,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673572.457,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673572.511,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673572.537,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.586,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.640,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673572.690,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673572.747,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673572.777,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673572.832,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.870,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673572.929,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673572.979,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673573.037,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673573.087,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673573.151,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673573.201,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673573.260,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673573.311,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673573.366,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673573.416,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673573.505,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673573.561,0,-29,0,2,21.00,1
0x000000000000000000006181,1515673573.613,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673573.669,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673573.716,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673573.778,0,-19,0,2,21.00,4
0x000000000000000000006181,1515673573.834,0,-19,0,3,21.00,4
0x000000000000000000006181,1515673573.904,0,-29,0,3,21.00,1
0x000000000000000000006181,1515673573.962,0,-29,0,3,21.00,1
0x000000000000000000006181,1515673573.989,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673574.046,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673574.095,0,-23,0,3,21.00,3
0x000000000000000000006181,1515673574.138,0,-23,0,3,21.00,3
0x000000000000000000006181,1515673574.201,0,-19,0,3,21.00,4
0x000000000000000000006181,1515673574.246,0,-19,0,3,21.00,4
0x000000000000000000006181,1515673574.322,0,-30,0,3,21.00,1
0x000000000000000000006181,1515673574.382,0,-30,0,3,21.00,1
0x000000000000000000006181,1515673574.401,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673574.474,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673574.524,0,-23,0,3,21.00,3
0x000000000000000000006181,1515673574.570,0,-23,0,3,21.00,3
0x000000000000000000006181,1515673574.630,0,-20,0,3,21.00,4
