MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:02:23 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1517364129.046,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364129.101,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364129.956,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364130.164,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364130.387,0,-35,0,1,21.00,3
0x107010349013305354381889,1517364130.453,0,-34,0,1,21.00,4
0x107010349013305354381889,1517364130.493,0,-34,0,1,21.00,4
0x107010349013305354381889,1517364130.564,0,-33,0,1,21.00,3
0x107010349013305354381889,1517364130.610,0,-33,0,1,21.00,3
0x107010349013305354381889,1517364130.669,0,-35,0,1,21.00,4
0x107010349013305354381889,1517364130.800,0,-33,0,1,21.00,3
0x107010349013305354381889,1517364132.955,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364133.459,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364133.501,0,-35,0,1,21.00,3
0x107010349013305354381889,1517364134.668,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364137.921,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364137.970,0,-35,0,1,21.00,3
0x107010349013305354381889,1517364138.915,0,-34,0,1,21.00,3
0x107010349013305354381889,1517364138.967,0,-34,0,1,21.00,3
0x000000000000000000004005,1517364129.056,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364129.077,0,-28,0,1,21.00,3
0x000000000000000000004005,1517364129.317,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364129.357,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364129.513,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364129.577,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364129.741,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364129.935,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364129.985,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364130.144,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364130.184,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364130.552,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364130.597,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364130.749,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364130.787,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.116,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.174,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.353,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.571,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.610,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.779,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.831,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364131.986,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.033,0,-30,0,1,21.00,3
0x000000000000000000004005,1517364132.274,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.303,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.487,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.518,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.684,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.704,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364132.944,0,-29,0,1,21.00,3
