MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:54:32 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517363656.714,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363656.755,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363656.935,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363657.212,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363657.519,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363657.571,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363657.877,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363658.163,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363658.746,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363658.771,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363659.072,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363659.116,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363659.315,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363659.369,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363659.600,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363659.619,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363659.911,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363659.931,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363660.128,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363660.173,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363660.420,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363660.469,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363660.774,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363660.820,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363661.058,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363661.100,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363661.387,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363661.460,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363661.721,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363661.771,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363661.978,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363662.069,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363662.315,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363662.522,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363662.540,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363662.814,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363663.167,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363663.210,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363663.425,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363663.473,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363663.678,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363663.698,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363664.044,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363664.230,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363664.269,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363664.538,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363664.838,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363664.878,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363665.061,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363665.369,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363665.422,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363665.983,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363666.051,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363666.482,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363666.830,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363667.086,0,-29,0,1,21.00,3
0x107010249722621700351874,1517363656.735,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363656.769,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363656.957,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363656.998,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363657.180,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363657.256,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363657.601,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363658.199,0,-32,0,1,21.00,3
