MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:07:44 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517364452.552,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364452.605,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364452.801,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364453.109,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364453.379,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364453.600,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364453.918,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364454.218,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364454.272,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364454.704,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364454.976,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.026,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.276,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.336,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.546,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.742,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.782,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364455.958,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364456.014,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364456.257,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364456.533,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364456.742,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364456.986,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364457.041,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364457.247,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364457.278,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364457.576,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364457.778,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364458.042,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364458.652,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364459.262,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364460.461,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364460.505,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364461.209,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364461.259,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364461.425,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364461.484,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364461.665,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364461.724,0,-32,0,1,21.00,3
0x107010349013305354381890,1517364452.562,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364452.594,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364452.766,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364452.837,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364453.093,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364453.369,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364453.588,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364453.609,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364453.799,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364453.858,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364453.905,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364453.927,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364454.259,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364454.442,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364454.673,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364454.879,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364454.920,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364455.012,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364455.203,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364455.713,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364455.772,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364455.943,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364456.001,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364456.204,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364456.247,0,-29,0,1,21.00,3
