MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:11:17 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517364663.853,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364663.912,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364664.082,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364664.131,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364664.349,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364664.417,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364664.559,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364664.610,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364664.780,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364664.831,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364665.027,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364665.042,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364665.245,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364665.455,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364665.692,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364665.747,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364666.012,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364666.209,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364666.269,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364666.898,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364667.336,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364667.527,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364667.834,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364668.388,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364668.427,0,-26,0,1,21.00,3
0x107010349013305354381890,1517364669.191,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364669.454,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364669.500,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364669.715,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364669.776,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364669.830,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364670.008,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364670.085,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364670.499,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364670.754,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364670.928,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364670.985,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364671.352,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364671.418,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364671.669,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364672.127,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364672.157,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364672.369,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364672.395,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364672.574,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364672.619,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364672.812,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364672.866,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364673.041,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364673.079,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364673.114,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364673.195,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364673.380,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364673.566,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364673.617,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364673.799,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364673.878,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364674.004,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364674.282,0,-28,0,1,21.00,3
0x107010249722621700351874,1517364663.869,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364663.925,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364664.123,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364664.368,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364664.427,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364664.624,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364664.799,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364665.475,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364665.713,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.002,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.035,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.199,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.243,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.465,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.504,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.681,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.725,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.888,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364666.915,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.108,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.151,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.324,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.354,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.556,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.601,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.814,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364667.875,0,-32,0,1,21.00,3
