MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:21:33 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514449278.717,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449278.781,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449278.976,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.120,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449279.202,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.245,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.337,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.375,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.859,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449279.948,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449279.982,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449280.137,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449280.191,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449280.862,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.065,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.289,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449281.353,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.404,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.598,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.720,0,-32,0,2,21.00,3
0x000000000000000000001108,1514449281.782,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449281.835,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.881,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449281.941,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449282.007,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449282.103,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449282.259,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449282.916,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449282.974,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.057,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.087,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.654,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.706,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.778,0,-32,0,3,21.00,3
0x000000000000000000001108,1514449283.816,0,-32,0,3,21.00,3
0x000000000000000000001108,1514449283.874,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449283.936,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.053,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.229,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.389,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.434,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.556,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.660,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.708,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.783,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449284.847,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449285.432,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449285.464,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449285.516,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449285.562,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449285.642,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449285.691,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449285.914,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449286.161,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449286.232,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449286.268,0,-32,0,3,21.00,4
0x000000000000000000001108,1514449286.555,0,-32,0,4,21.00,3
0x000000000000000000001108,1514449286.611,0,-32,0,4,21.00,4
0x000000000000000000001108,1514449286.729,0,-32,0,4,21.00,4
0x000000000000000000001108,1514449286.891,0,-33,0,4,21.00,3
0x000000000000000000001108,1514449286.959,0,-32,0,4,21.00,4
0x000000000000000000001108,1514449287.016,0,-32,0,4,21.00,4
0x000000000000000000001108,1514449287.171,0,-32,0,4,21.00,3
0x000000000000000000001108,1514449287.454,0,-33,0,4,21.00,3
0x000000000000000000001108,1514449287.528,0,-33,0,4,21.00,3
0x000000000000000000001108,1514449287.570,0,-32,0,4,21.00,4
0x000000000000000000001108,1514449287.745,0,-33,0,4,21.00,3
0x000000000000000000001108,1514449287.797,0,-32,0,4,21.00,4
0x000000000000000000001107,1514449278.731,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449278.761,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449279.110,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449279.158,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449279.211,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449279.255,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449279.730,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449279.766,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449279.834,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449279.895,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449279.931,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.002,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.122,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449280.180,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449280.225,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.277,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.443,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.612,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.680,0,-33,0,2,21.00,4
0x000000000000000000001107,1514449280.834,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449280.887,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449281.241,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449281.309,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449281.385,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449281.555,0,-32,0,2,21.00,4
0x000000000000000000001107,1514449281.608,0,-33,0,2,21.00,4
0x000000000000000000001107,1514449281.736,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449281.765,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449281.823,0,-33,0,2,21.00,4
0x000000000000000000001107,1514449281.890,0,-33,0,2,21.00,4
0x000000000000000000001107,1514449281.983,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449282.070,0,-33,0,2,21.00,4
0x000000000000000000001107,1514449282.236,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449282.297,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449282.507,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449282.559,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449282.721,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449282.769,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449282.928,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449282.963,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449283.295,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449283.430,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449283.548,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449283.664,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449283.826,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449283.916,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.195,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.242,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.404,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.517,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.575,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.794,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449284.856,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449285.046,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449285.122,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449285.153,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449285.230,0,-32,0,3,21.00,4
0x000000000000000000001107,1514449285.293,0,-33,0,3,21.00,4
0x000000000000000000001107,1514449285.415,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449285.476,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449285.533,0,-33,0,3,21.00,4
0x000000000000000000001107,1514449285.575,0,-33,0,3,21.00,4
0x000000000000000000001107,1514449285.631,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449285.673,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449285.749,0,-33,0,3,21.00,4
0x000000000000000000001107,1514449285.893,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449285.937,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449286.173,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449286.219,0,-32,0,3,21.00,3
