MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:11:01 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x108010149872360088493237,1517364647.972,0,-32,0,1,21.00,4
0x108010149872360088493237,1517364648.493,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364648.566,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364648.734,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364648.776,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364649.257,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.146,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.183,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.357,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.772,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.814,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364650.981,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.044,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.437,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.476,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.659,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.895,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364651.965,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364652.346,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364652.405,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364652.582,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364652.635,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364652.824,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.251,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.306,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.505,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.691,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.896,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364653.943,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364654.335,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364654.399,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364654.629,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364654.944,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364655.136,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364655.338,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364655.420,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364655.791,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364655.929,0,-30,0,1,21.00,4
0x108010149872360088493237,1517364655.997,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.177,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.225,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.391,0,-30,0,1,21.00,4
0x108010149872360088493237,1517364656.452,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.632,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.656,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364656.826,0,-30,0,1,21.00,4
0x108010149872360088493237,1517364656.875,0,-29,0,1,21.00,4
0x108010149872360088493237,1517364657.052,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364657.491,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364657.688,0,-31,0,1,21.00,4
0x108010149872360088493237,1517364657.857,0,-31,0,1,21.00,4
0x108010249015513382523249,1517364647.986,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364648.026,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364648.744,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.069,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.121,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.323,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.494,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.542,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.934,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364649.981,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364650.762,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364650.826,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364651.004,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364651.646,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364651.677,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.029,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.083,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.242,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.281,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.459,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.515,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.743,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364653.961,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.174,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.345,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.379,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.571,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.615,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.908,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364654.963,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364655.160,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364655.755,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364655.961,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364656.008,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364656.189,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364656.481,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364656.698,0,-31,0,1,21.00,4
0x108010249015513382523249,1517364656.897,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.075,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.198,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.274,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.465,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.638,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364657.917,0,-32,0,1,21.00,4
0x108010249015513382523249,1517364658.099,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364647.998,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364648.307,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364648.504,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364648.554,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364651.205,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364651.256,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364651.450,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364651.910,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364651.944,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364652.121,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.165,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.337,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.386,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.599,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.798,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364652.863,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364653.261,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364653.675,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364653.733,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364653.906,0,-32,0,1,21.00,4
0x108010249027506682943252,1517364653.934,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364654.133,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364654.356,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364654.581,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364654.922,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364655.117,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364655.185,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364655.398,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364655.733,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364656.689,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364656.851,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364656.911,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364657.063,0,-31,0,1,21.00,4
0x108010249027506682943252,1517364657.933,0,-31,0,1,21.00,4
0x000000000000000000004005,1517364648.078,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364648.123,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364648.176,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364648.218,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364648.832,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364648.913,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364648.940,0,-28,0,1,21.00,3
0x000000000000000000004005,1517364649.020,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364649.230,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364649.425,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364649.588,0,-32,0,1,21.00,2
0x000000000000000000004005,1517364649.657,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364649.732,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.035,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.080,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.279,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.433,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.668,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.724,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.897,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364650.943,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364651.326,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364651.395,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364651.582,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364651.813,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364651.859,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364652.251,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364652.280,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364652.481,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364652.935,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364653.166,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364653.372,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364653.789,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364653.858,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364654.261,0,-28,0,1,21.00,3
0x000000000000000000004005,1517364654.466,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364654.682,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364654.744,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364654.800,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364654.857,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.013,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.089,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.283,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.460,0,-32,0,1,21.00,2
0x000000000000000000004005,1517364655.502,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364655.550,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.686,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364655.872,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364656.066,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364656.141,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364656.373,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364657.003,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364657.610,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364657.831,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364658.049,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364648.090,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364648.133,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364648.161,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364648.232,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364648.415,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364648.436,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364648.629,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364648.667,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364649.154,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364649.195,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364649.377,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364649.451,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364649.631,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364649.696,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364649.744,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364650.058,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364650.267,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364650.299,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364650.458,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364650.907,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364651.120,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364651.310,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364651.380,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364651.546,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364651.571,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364651.823,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364652.045,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364652.465,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364652.510,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364652.913,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364652.962,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364653.131,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364653.172,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364653.418,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364653.592,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364653.777,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364653.837,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364653.993,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364654.076,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364654.303,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364654.473,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364654.712,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364654.754,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364654.810,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364654.995,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364655.066,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364655.256,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364655.526,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364655.671,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364655.903,0,-29,0,1,21.00,3
