MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:15:34 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515658521.653,0,-32,0,4,21.00,1
0x107010549013305354071900,1515658521.712,0,-32,0,4,21.00,1
0x107010549013305354071900,1515658521.905,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658522.654,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658522.714,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658522.964,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658523.031,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658523.212,0,-34,0,4,21.00,4
0x107010549013305354071900,1515658523.278,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658523.330,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658523.595,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658524.104,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658524.167,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658524.320,0,-34,0,4,21.00,4
0x107010549013305354071900,1515658524.442,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658525.337,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658525.385,0,-33,0,4,21.00,1
0x107010549013305354071900,1515658525.536,0,-34,0,1,21.00,4
0x107010549013305354071900,1515658525.583,0,-34,0,1,21.00,4
0x107010549013305354071900,1515658525.651,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658525.677,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658525.962,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658525.999,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.140,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.181,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.451,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.477,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.772,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658526.803,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.062,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.118,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.578,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.641,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.901,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658527.930,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658528.327,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658528.355,0,-32,0,1,21.00,1
0x107010549013305354071900,1515658528.652,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658528.694,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658528.968,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658529.014,0,-33,0,1,21.00,1
0x107010549013305354071900,1515658529.306,0,-32,0,2,21.00,1
0x107010549013305354071900,1515658529.363,0,-32,0,2,21.00,1
