MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:07:11 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661864,1515658017.394,0,-33,0,2,21.00,2
0x107010145263633097661864,1515658017.466,0,-33,0,2,21.00,2
0x000000000000000000006111,1515658017.405,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658017.449,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.375,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.412,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.771,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.801,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.956,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658018.991,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658019.471,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658019.501,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658019.739,0,-32,0,2,21.00,1
0x000000000000000000006111,1515658019.798,0,-32,0,2,21.00,1
0x000000000000000000006111,1515658020.031,0,-32,0,2,21.00,1
0x000000000000000000006111,1515658020.078,0,-32,0,2,21.00,1
0x000000000000000000006111,1515658020.139,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658020.175,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658020.791,0,-33,0,2,21.00,1
0x000000000000000000006111,1515658021.030,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658021.073,0,-31,0,2,21.00,2
0x000000000000000000006111,1515658022.047,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658022.081,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658023.315,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658023.352,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658024.645,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658024.674,0,-31,0,3,21.00,2
0x000000000000000000006111,1515658026.197,0,-33,0,4,21.00,1
0x000000000000000000006111,1515658026.274,0,-31,0,4,21.00,2
0x000000000000000000006111,1515658026.321,0,-31,0,4,21.00,2
0x107010349013305354381889,1515658017.484,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658017.533,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658017.713,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658017.761,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658017.924,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658017.970,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658018.143,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658018.193,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658018.440,0,-29,0,2,21.00,3
