MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:02:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515657729.071,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657729.124,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657729.373,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657729.424,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657729.594,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657729.647,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657729.917,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657729.957,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657730.129,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657730.178,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657730.348,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657730.384,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657730.561,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657730.608,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657730.790,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657730.827,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657731.105,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657731.147,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657731.393,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657731.439,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657731.614,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657731.653,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657731.836,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657731.896,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657732.067,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657732.114,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657732.645,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657732.693,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657732.872,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657732.911,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.088,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.128,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.306,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.345,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.630,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657733.644,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.821,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657733.863,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657734.034,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657734.083,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657734.396,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657734.655,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657734.703,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657735.002,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657735.260,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657735.304,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657735.554,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657735.601,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657735.859,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657735.903,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657736.070,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657736.117,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657736.390,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657736.430,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657736.702,0,-28,0,4,21.00,3
0x107010349013305354381889,1515657736.743,0,-28,0,4,21.00,3
