MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:05:55 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515657942.702,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657942.750,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657942.883,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657942.958,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657943.141,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657943.300,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657943.467,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657943.508,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657943.693,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657943.724,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657943.903,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657943.931,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657944.087,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657944.150,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657944.303,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657944.348,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657944.496,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657944.540,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657944.713,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657944.769,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657944.974,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657945.150,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657945.524,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657945.573,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657945.931,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657945.977,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657946.124,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657946.179,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657946.340,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657946.391,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657946.563,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657946.735,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.089,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.128,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.274,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657947.307,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657947.460,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.515,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.849,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657947.945,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657948.310,0,-31,0,3,21.00,1
0x107010449013305354211892,1515657948.457,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657948.665,0,-31,0,3,21.00,1
0x107010449013305354211892,1515657948.708,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657948.833,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657948.888,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657949.056,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657949.124,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657949.284,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657949.426,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657949.475,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657949.616,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657949.664,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657949.825,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657949.865,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657950.006,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657950.055,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657950.384,0,-29,0,4,21.00,3
0x107010449013305354211892,1515657950.468,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657950.649,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657950.776,0,-30,0,4,21.00,3
0x107010449013305354211892,1515657950.861,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657951.052,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657951.212,0,-32,0,4,21.00,3
