MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:55:21 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517374492.761,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374492.821,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374492.985,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374493.037,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374493.361,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374493.428,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374493.477,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374493.763,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374493.976,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374494.169,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374494.242,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374494.542,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374494.583,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374494.634,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374494.830,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374495.068,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374495.139,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374495.198,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374495.383,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374495.439,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374495.508,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374495.565,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374495.816,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374495.926,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374496.369,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374496.402,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374496.671,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374496.722,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.013,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.434,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.486,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.655,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.702,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374497.872,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374497.954,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374498.020,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374498.288,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374498.389,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374498.598,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374498.923,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374498.976,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374499.029,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374499.234,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374499.556,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374499.612,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374499.847,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374500.063,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374500.270,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374500.479,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374500.509,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374500.605,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.047,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374501.098,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374501.141,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.201,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.376,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.424,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.614,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.655,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374501.958,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374502.054,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374502.103,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374502.547,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374502.591,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374502.760,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374502.833,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374502.886,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374502.937,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374492.774,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374492.806,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374492.887,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.085,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.139,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.246,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.414,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374493.460,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374493.553,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.625,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374493.781,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374493.965,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374493.994,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374494.051,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374494.123,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374494.220,0,-33,0,1,21.00,2
0x107010349013305354381890,1517374494.286,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374494.341,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374494.409,0,-33,0,1,21.00,2
0x107010349013305354381890,1517374494.556,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374494.622,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374494.806,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374494.860,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374495.030,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374495.086,0,-33,0,1,21.00,2
0x107010349013305354381890,1517374495.278,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374495.541,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374495.787,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374495.916,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374495.970,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.065,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374496.131,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.186,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.232,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374496.305,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374496.412,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.492,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374496.598,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374496.683,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.733,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374496.797,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374496.838,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374497.003,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.055,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.165,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374497.292,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.370,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374497.443,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.476,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.565,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374497.638,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374497.714,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374497.774,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374497.942,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374498.328,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374498.376,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374498.584,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374498.620,0,-32,0,1,21.00,2
0x107010349013305354381890,1517374498.700,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374498.780,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374499.160,0,-33,0,1,21.00,4
