MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:56:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517374607.173,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374607.465,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374607.810,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374607.991,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374608.803,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374608.981,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374609.519,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374609.745,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374610.133,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374610.191,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374610.397,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374610.828,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374610.891,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374611.194,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374611.392,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374611.560,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374611.608,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374612.308,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374612.478,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374612.530,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374612.712,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374613.437,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374613.919,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374614.121,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374614.161,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374614.367,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374614.875,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374614.903,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.114,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.290,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.334,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.572,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.623,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374615.826,0,-33,0,1,21.00,2
0x110010349835865102614942,1517374616.736,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374616.764,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374616.961,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374617.017,0,-33,0,1,21.00,3
0x107010349013305354381890,1517374607.186,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374607.424,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374607.778,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374607.867,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374608.035,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374608.137,0,-34,0,1,21.00,4
0x107010349013305354381890,1517374608.197,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374608.480,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374608.740,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374608.824,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374609.054,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374609.167,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374609.278,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374609.478,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374609.709,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374609.937,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374610.117,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374610.180,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374610.362,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374610.405,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374610.632,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374610.818,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374610.868,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374611.148,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374611.475,0,-34,0,1,21.00,4
0x107010349013305354381890,1517374611.532,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374611.599,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374611.782,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374611.826,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374612.026,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374612.295,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374612.381,0,-34,0,1,21.00,4
0x107010349013305354381890,1517374612.466,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374612.763,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374612.960,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374612.976,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374613.172,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374613.215,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374613.377,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374613.409,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374613.622,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374613.679,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374613.956,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.109,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.138,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374614.339,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.394,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.585,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.606,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374614.788,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374614.913,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374615.323,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374615.581,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374615.875,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374615.890,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374616.083,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374616.286,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374616.344,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374616.532,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374616.998,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374607.218,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374607.411,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374607.444,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374607.757,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374608.256,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374608.428,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374608.494,0,-29,0,1,21.00,3
