MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:32:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517373149.177,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373149.257,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373149.428,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373149.918,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373150.116,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373150.173,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373151.009,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373151.187,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373151.700,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373151.773,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373152.135,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373152.163,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373152.359,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373152.442,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373152.640,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373152.870,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373153.317,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373153.361,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373153.615,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373153.694,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373153.881,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373154.069,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373154.114,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373154.373,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373154.415,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373154.614,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373154.640,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373154.860,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373155.078,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373155.119,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373155.282,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373155.337,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373155.577,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373155.733,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373155.776,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373156.278,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373156.361,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373156.578,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373156.737,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373156.785,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373157.060,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373157.130,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373157.361,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373157.620,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373157.680,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373157.866,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373157.895,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373158.328,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373158.396,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373158.661,0,-28,0,1,21.00,3
0x000000000000000000004005,1517373149.193,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373149.441,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373149.651,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373149.900,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.422,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.469,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.632,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.675,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.940,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373150.982,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.159,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.199,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.461,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.526,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.735,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.933,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373151.975,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373152.145,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373152.174,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373152.373,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373152.414,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373153.113,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373153.154,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373153.651,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373153.878,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373154.107,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373154.395,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373154.448,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373155.304,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373155.347,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373156.318,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373156.765,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373156.803,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373157.082,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373157.145,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373157.638,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373157.721,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373157.918,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373158.099,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373158.160,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373158.359,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373158.870,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373158.898,0,-29,0,1,21.00,3
0x110010349835865102614942,1517373149.206,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373149.697,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373150.160,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373150.433,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373150.642,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373150.686,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373151.712,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373151.753,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373152.154,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373153.626,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373153.671,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373154.085,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373154.126,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373155.087,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373155.135,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373155.315,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373155.748,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373155.801,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373156.518,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373156.589,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373156.888,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373157.886,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373158.109,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373158.171,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373158.383,0,-33,0,1,21.00,3
0x107010349013305354381891,1517373149.215,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373149.422,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373149.629,0,-35,0,1,21.00,3
0x107010349013305354381891,1517373149.674,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373150.126,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373150.410,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373150.454,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373151.471,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373151.515,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373151.922,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373151.965,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373152.817,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373152.860,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373153.101,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373153.379,0,-35,0,1,21.00,3
0x107010349013305354381891,1517373155.526,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373155.567,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373155.999,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373156.030,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373157.350,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373157.383,0,-34,0,1,21.00,3
0x107010349013305354381891,1517373157.673,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.235,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.274,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373149.312,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373149.401,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.466,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.533,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373149.641,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.684,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.713,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373149.784,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373149.871,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373149.941,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373150.007,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373150.106,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373150.148,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373150.190,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373150.247,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373150.519,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373150.544,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373150.652,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373150.723,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373150.778,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.024,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.074,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.246,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.294,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373151.373,0,-30,0,1,21.00,2
0x000000000000000000006071,1517373151.419,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373151.487,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373151.560,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.620,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.798,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373151.857,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373152.004,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373152.050,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373152.215,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373152.277,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373152.395,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373152.503,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373152.607,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373152.665,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373152.729,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373152.829,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373152.883,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373152.941,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373153.172,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373153.242,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373153.342,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373153.402,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373153.466,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373153.640,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373153.767,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373154.179,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373154.224,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373154.301,0,-30,0,1,21.00,2
0x000000000000000000006071,1517373154.341,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373154.467,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373154.514,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373154.684,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373154.737,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373154.850,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373154.904,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373154.969,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373155.192,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373155.377,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373155.434,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373155.605,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373155.661,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373155.837,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373155.900,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373156.009,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373156.076,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.121,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.308,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373156.433,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.610,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.656,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.920,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373156.970,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373157.185,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373157.249,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373157.424,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373157.473,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373157.556,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373157.590,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373157.771,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373157.959,0,-29,0,1,21.00,4
