MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:32:56 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097591868,1517373164.568,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373164.608,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373165.179,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373165.215,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373167.454,0,-33,0,1,21.00,1
0x107010145263633097591868,1517373167.483,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373170.617,0,-33,0,1,21.00,1
0x107010145263633097591868,1517373170.646,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373170.952,0,-33,0,1,21.00,1
0x107010145263633097591868,1517373170.994,0,-33,0,1,21.00,1
0x107010145263633097591868,1517373172.156,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373172.201,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373173.449,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373173.495,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373174.000,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373174.047,0,-32,0,1,21.00,1
0x107010145263633097591868,1517373174.296,0,-32,0,1,21.00,1
0x107010349013305354381890,1517373164.647,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373164.688,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373164.959,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373165.035,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373165.295,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373165.531,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373166.032,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373166.278,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373166.768,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373166.812,0,-28,0,1,21.00,3
