MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:37:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517373459.797,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373459.865,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373460.006,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373460.072,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373460.274,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373460.288,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373460.467,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373460.510,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373460.704,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373460.725,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373461.194,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373461.239,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373461.418,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373461.490,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373461.713,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373461.766,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373462.012,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373462.058,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373462.227,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373462.277,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373462.666,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373462.699,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373463.075,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373463.262,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373463.299,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373463.457,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373463.507,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373463.814,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373463.862,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373464.067,0,-29,0,1,21.00,3
