MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:39:37 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517366364.078,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.134,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.188,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366364.237,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366364.303,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366364.354,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366364.490,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.541,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.596,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366364.643,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366364.694,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366364.739,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366364.798,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.861,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366364.918,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366364.963,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366365.021,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.090,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.160,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.202,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.284,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366365.329,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366365.377,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.427,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.489,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.533,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.630,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366365.672,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366365.723,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.770,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366365.843,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.902,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366365.997,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366366.048,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366366.092,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.156,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.233,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366366.272,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366366.335,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366366.385,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366366.435,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.499,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.571,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366366.618,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366366.681,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366366.732,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366366.790,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.835,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366366.897,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366366.966,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366367.017,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.070,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.119,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.151,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.212,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366367.272,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366367.332,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.376,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.438,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.498,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.567,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366367.648,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366367.679,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.726,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366367.783,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.817,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366367.979,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.028,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.087,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.141,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.194,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366368.236,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366368.292,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.340,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.405,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.459,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.509,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366368.556,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366368.692,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.751,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366368.783,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.832,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366368.893,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366368.943,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366369.105,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366369.152,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366369.214,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366369.262,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366369.332,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366369.387,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366369.470,0,-30,0,1,21.00,1
0x000000000000000000006041,1517366369.501,0,-30,0,1,21.00,1
0x000000000000000000006041,1517366369.544,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366369.581,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366369.633,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366369.680,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366369.732,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366369.779,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366369.846,0,-20,0,1,21.00,2
0x000000000000000000006041,1517366369.896,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366369.944,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366369.994,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366370.041,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.115,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.186,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366370.223,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366370.278,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366370.323,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366370.383,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.434,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.502,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366370.540,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366370.609,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366370.650,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366370.705,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.758,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366370.918,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366370.983,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366371.038,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366371.077,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366371.136,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366371.184,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366371.279,0,-31,0,1,21.00,1
0x000000000000000000006041,1517366371.312,0,-31,0,1,21.00,1
0x000000000000000000006041,1517366371.358,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366371.410,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366371.466,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366371.512,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366371.564,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366371.611,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366371.674,0,-30,0,1,21.00,1
0x000000000000000000006041,1517366371.806,0,-30,0,1,21.00,1
0x000000000000000000006041,1517366371.827,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366371.883,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366371.957,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.010,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.067,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.110,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.165,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.221,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.285,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.327,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.378,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.431,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.486,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.539,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.594,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.643,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.709,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.763,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366372.824,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.871,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366372.932,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366372.976,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366373.035,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.086,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.153,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366373.171,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366373.249,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366373.301,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366373.357,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.403,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.481,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366373.558,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366373.607,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366373.652,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366373.711,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.759,0,-18,0,1,21.00,4
0x000000000000000000006041,1517366373.919,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366373.975,0,-19,0,1,21.00,2
0x000000000000000000006041,1517366374.029,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366374.071,0,-20,0,1,21.00,3
0x000000000000000000006041,1517366374.121,0,-18,0,1,21.00,4
0x000000000000000000004005,1517366364.091,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366364.164,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366364.204,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366364.283,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366364.551,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366364.609,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366364.657,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366364.812,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366364.884,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366364.934,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366364.995,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366365.189,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366365.245,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366365.295,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366365.590,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366365.666,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366365.855,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366365.928,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366366.031,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366366.080,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366366.285,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366366.601,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366366.647,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366366.709,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366366.761,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366366.934,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366366.979,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366367.052,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366367.083,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366367.253,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366367.300,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366367.346,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366367.397,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366367.580,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366368.072,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366368.356,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366368.428,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366368.482,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366368.713,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366368.848,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366369.134,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366369.314,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366369.598,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366369.656,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366369.692,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366369.868,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366369.922,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366369.961,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366370.242,0,-32,0,1,21.00,2
0x000000000000000000004005,1517366370.316,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366370.514,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366370.594,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366370.691,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366371.022,0,-31,0,1,21.00,2
