MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:31:45 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661866,1517365891.744,0,-32,0,1,21.00,1
0x107010145263633097661866,1517365891.786,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365892.187,0,-32,0,1,21.00,1
0x107010145263633097661866,1517365892.253,0,-32,0,1,21.00,1
0x107010145263633097661866,1517365892.608,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365892.661,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365893.041,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365893.083,0,-32,0,1,21.00,1
0x107010145263633097661866,1517365893.790,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365893.825,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365894.229,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365894.282,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365895.361,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365897.085,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365897.434,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365897.490,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365897.885,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365897.937,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365898.311,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365899.727,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365899.762,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365900.489,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365900.541,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365900.893,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365900.938,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365901.335,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365901.751,0,-33,0,1,21.00,1
0x107010145263633097661866,1517365902.172,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365891.754,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365891.808,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365892.262,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365892.673,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365893.120,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365893.838,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365894.263,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365895.283,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365895.351,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365897.055,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365897.111,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365897.515,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365897.926,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365898.299,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365898.342,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365899.737,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365900.511,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365900.920,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365901.308,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365901.370,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365901.728,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365901.776,0,-34,0,1,21.00,1
0x107010549013305354071900,1517365902.159,0,-33,0,1,21.00,1
0x107010549013305354071900,1517365902.196,0,-34,0,1,21.00,1
0x000000000000000000006041,1517365891.795,0,-31,0,1,21.00,1
0x000000000000000000006041,1517365891.824,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365891.890,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365891.956,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365891.999,0,-24,0,1,21.00,3
0x000000000000000000006041,1517365892.197,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365892.243,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365892.279,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365892.321,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365892.367,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365892.420,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365892.596,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365892.652,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365892.690,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365892.752,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365892.829,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365892.849,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365893.053,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365893.095,0,-30,0,1,21.00,1
0x000000000000000000006041,1517365893.137,0,-19,0,1,21.00,2
0x000000000000000000006041,1517365893.185,0,-19,0,1,21.00,2
