MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:19:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x106020349010851617841860,1515665931.502,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665931.557,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665932.487,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665932.523,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665932.771,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665932.817,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665933.824,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665933.872,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665934.688,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665935.186,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665935.237,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665936.525,0,-34,0,2,21.00,3
0x106020349010851617841860,1515665936.572,0,-34,0,2,21.00,3
0x106020349010851617841860,1515665937.462,0,-34,0,2,21.00,3
0x106020349010851617841860,1515665937.493,0,-34,0,2,21.00,3
0x106020349010851617841860,1515665938.821,0,-34,0,2,21.00,3
0x106020349010851617841860,1515665939.157,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665939.721,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665939.769,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665940.270,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665940.841,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665941.694,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665941.872,0,-34,0,3,21.00,3
0x106020349010851617841860,1515665941.937,0,-34,0,3,21.00,3
0x107010145263633097661865,1515665931.513,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665931.546,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665931.801,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665931.858,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665933.419,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665934.666,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665934.717,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665935.175,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665935.218,0,-34,0,1,21.00,3
0x107010145263633097661865,1515665935.410,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665936.293,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665936.345,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665937.174,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665937.475,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665937.768,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665938.515,0,-34,0,2,21.00,3
0x107010145263633097661865,1515665939.148,0,-34,0,3,21.00,3
0x107010145263633097661865,1515665939.175,0,-34,0,3,21.00,3
0x107010145263633097661865,1515665939.419,0,-34,0,3,21.00,3
0x107010145263633097661865,1515665940.088,0,-34,0,3,21.00,3
