MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:37:39 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515667045.007,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667045.061,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667045.272,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667045.345,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667045.414,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667045.628,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667045.679,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667045.740,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667045.772,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.061,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667046.108,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667046.173,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.221,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.356,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667046.413,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667046.455,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.504,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.788,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.821,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667046.987,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667047.036,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667047.089,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667047.136,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667047.396,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667047.438,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667047.593,0,-32,0,3,21.00,4
0x107010549013305354071900,1515667047.645,0,-32,0,3,21.00,4
