MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:26:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515666378.542,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666378.600,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666379.276,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666379.688,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666380.100,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666380.131,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666380.386,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666380.464,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666380.726,0,-30,0,1,21.00,3
0x107010249722621700351874,1515666381.102,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666381.441,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666381.496,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666381.889,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666381.945,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666382.246,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666382.612,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666382.642,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666383.011,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666383.050,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666383.296,0,-32,0,2,21.00,3
0x107010249722621700351874,1515666383.364,0,-32,0,2,21.00,3
0x107010249722621700351874,1515666384.169,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666384.497,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666384.975,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666385.368,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666385.719,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666385.776,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666386.026,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666386.072,0,-31,0,2,21.00,3
0x107010249722621700351874,1515666386.248,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666386.295,0,-32,0,3,21.00,3
0x107010249722621700351874,1515666386.641,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666386.692,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666386.959,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666387.000,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666387.254,0,-32,0,3,21.00,3
0x107010249722621700351874,1515666387.305,0,-32,0,3,21.00,3
0x107010249722621700351874,1515666387.659,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666387.708,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666388.056,0,-31,0,3,21.00,3
0x107010249722621700351874,1515666388.087,0,-32,0,3,21.00,3
0x107010249722621700351874,1515666388.255,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666378.552,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666378.590,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666378.949,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666379.249,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666379.303,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666380.194,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666380.234,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666380.405,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666380.438,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666380.502,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666380.547,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666380.703,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666380.740,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666380.787,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666380.836,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666381.063,0,-29,0,1,21.00,3
0x107010349013305354381889,1515666381.129,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666381.202,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666381.457,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666381.507,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666381.605,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666381.926,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666381.976,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666382.041,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666382.366,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666382.624,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666382.705,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666382.768,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666383.040,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666383.119,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666383.425,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666383.763,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666383.834,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666384.149,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666384.232,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666384.655,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666384.952,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666385.748,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666386.015,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666386.091,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666386.203,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666386.275,0,-29,0,3,21.00,3
0x107010349013305354381889,1515666386.332,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666386.679,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666386.946,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666387.011,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666387.095,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666387.240,0,-29,0,3,21.00,3
0x107010349013305354381889,1515666387.295,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666387.680,0,-29,0,3,21.00,3
0x107010349013305354381889,1515666388.066,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666388.281,0,-31,0,3,21.00,3
0x106020349010851617841853,1515666378.561,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666378.939,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666378.985,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666379.677,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666379.708,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666380.078,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666380.146,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666380.717,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666381.467,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666381.877,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666381.935,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666382.204,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666382.257,0,-34,0,1,21.00,3
0x106020349010851617841853,1515666382.603,0,-34,0,2,21.00,3
0x106020349010851617841853,1515666382.651,0,-34,0,2,21.00,3
0x106020349010851617841853,1515666383.000,0,-34,0,2,21.00,3
