MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:39:14 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515667138.611,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667138.662,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667139.208,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667139.495,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667139.556,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667139.707,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667140.191,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667140.245,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667140.511,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667140.559,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667141.485,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667141.527,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667142.117,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667142.477,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667142.524,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667143.011,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667143.049,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667143.313,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667143.373,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667143.750,0,-33,0,4,21.00,4
0x107010549013305354071900,1515667144.033,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667144.099,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667144.361,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667144.413,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667144.643,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667144.692,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667144.920,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667144.971,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667145.652,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667145.697,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667146.130,0,-34,0,4,21.00,1
0x107010549013305354071900,1515667146.193,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667146.400,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667146.467,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667147.106,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667147.155,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667147.198,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667147.264,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667147.677,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667147.721,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667147.898,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667147.945,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667147.990,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667148.051,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667148.277,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667148.339,0,-33,0,1,21.00,4
0x00b07a139010bc913000c7d3,1515667138.624,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667138.649,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667139.506,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667139.544,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667140.212,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667140.236,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667140.502,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667140.548,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667141.500,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667141.545,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667142.467,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667142.534,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667142.998,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667143.069,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667143.323,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667143.359,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.043,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.090,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.348,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.403,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.652,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.709,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.931,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667144.958,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667145.639,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667145.683,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667146.143,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667146.179,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667146.413,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667146.446,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667147.189,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667147.241,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667147.688,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667147.738,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667148.010,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667148.039,0,-30,0,1,21.00,1
0x107010349013305354381889,1515667138.723,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667138.803,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667138.883,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667138.944,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667139.300,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667139.342,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667139.416,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667139.618,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667139.685,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667139.738,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667139.824,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667139.920,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667140.024,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.044,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667140.305,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.350,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.406,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667140.448,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667140.605,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.659,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.713,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667140.776,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667140.832,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667140.981,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667141.072,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667141.169,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667141.208,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667141.297,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667141.338,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667141.399,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667141.431,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667141.578,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667141.648,0,-31,0,3,21.00,3
