MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:24:59 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666285.244,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666285.316,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666286.843,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666286.893,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666287.266,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666287.561,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666287.608,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666287.978,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666288.022,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666288.366,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666288.422,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666288.819,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666289.180,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666289.212,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666289.499,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666290.225,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666290.282,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666291.861,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666291.921,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666293.128,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666293.173,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666293.527,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666293.577,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666293.843,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666293.897,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666294.168,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666294.235,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666295.153,0,-30,0,3,21.00,1
0x107010549013305354071900,1515666285.264,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666285.328,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666285.619,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666285.677,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666286.858,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666286.905,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666287.156,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666287.190,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666287.238,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666287.292,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666287.571,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666287.618,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666287.881,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666287.948,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666288.038,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666288.355,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666288.400,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666288.773,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666288.837,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666289.165,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666289.242,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666289.423,0,-33,0,2,21.00,4
0x107010549013305354071900,1515666289.472,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666289.537,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666290.236,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666290.273,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666291.527,0,-33,0,2,21.00,4
0x107010549013305354071900,1515666291.588,0,-33,0,2,21.00,4
0x107010549013305354071900,1515666291.849,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666291.912,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666292.177,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666292.233,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666292.518,0,-33,0,2,21.00,4
0x107010549013305354071900,1515666292.837,0,-33,0,3,21.00,4
0x107010549013305354071900,1515666292.887,0,-33,0,3,21.00,4
0x107010549013305354071900,1515666293.200,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666293.497,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666293.614,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666293.798,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666293.866,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666294.059,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666294.519,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666294.811,0,-33,0,3,21.00,4
0x107010549013305354071900,1515666295.096,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666295.137,0,-33,0,3,21.00,1
0x000000000000000000006121,1515666285.409,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666285.452,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666285.535,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666285.589,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666285.642,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666285.727,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666285.776,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666285.812,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666285.855,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666285.941,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666285.993,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.017,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666286.057,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666286.155,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.206,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.262,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666286.364,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.402,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.436,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666286.477,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666286.561,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666286.623,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666286.715,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666286.776,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666286.973,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666287.034,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666287.085,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666287.132,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666287.173,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666287.334,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666287.384,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666287.441,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666287.488,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666287.666,0,-28,0,1,21.00,2
0x000000000000000000006121,1515666287.703,0,-28,0,1,21.00,2
0x000000000000000000006121,1515666287.746,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666287.794,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666287.848,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666287.903,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666288.092,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.121,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.239,0,-25,0,1,21.00,4
0x000000000000000000006121,1515666288.282,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666288.449,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.505,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.575,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666288.633,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666288.694,0,-26,0,1,21.00,4
0x000000000000000000006121,1515666288.885,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.922,0,-27,0,1,21.00,2
0x000000000000000000006121,1515666288.997,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666289.066,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666289.106,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666289.363,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666289.409,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666289.675,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666289.712,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666289.890,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666289.933,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666290.113,0,-24,0,2,21.00,4
0x000000000000000000006121,1515666290.158,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666290.426,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666290.487,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666290.578,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666290.629,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666290.753,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666290.797,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666290.977,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666291.016,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666291.095,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666291.146,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666291.302,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666291.343,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666291.515,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666291.556,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666291.631,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666291.680,0,-28,0,2,21.00,3
0x000000000000000000006121,1515666291.728,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666291.771,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666291.957,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666292.009,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666292.050,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.096,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.151,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666292.191,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666292.287,0,-27,0,2,21.00,2
0x000000000000000000006121,1515666292.325,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666292.365,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.404,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.452,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666292.504,0,-26,0,2,21.00,4
0x000000000000000000006121,1515666292.595,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666292.640,0,-28,0,2,21.00,2
0x000000000000000000006121,1515666292.666,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.716,0,-27,0,2,21.00,3
0x000000000000000000006121,1515666292.779,0,-25,0,2,21.00,4
0x000000000000000000006121,1515666292.850,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666293.024,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666293.065,0,-26,0,3,21.00,4
0x000000000000000000006121,1515666293.243,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666293.272,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666293.410,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666293.459,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666293.728,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666293.775,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666294.040,0,-26,0,3,21.00,4
0x000000000000000000006121,1515666294.092,0,-26,0,3,21.00,4
0x000000000000000000006121,1515666294.282,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666294.326,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666294.441,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666294.484,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666294.575,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666294.609,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666294.747,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666294.793,0,-26,0,3,21.00,4
0x000000000000000000006121,1515666294.966,0,-26,0,3,21.00,4
0x000000000000000000006121,1515666295.013,0,-25,0,3,21.00,4
0x000000000000000000006121,1515666295.198,0,-27,0,3,21.00,2
0x000000000000000000006121,1515666295.246,0,-27,0,3,21.00,2
0x107010249018591604251877,1515666285.418,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666285.461,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666286.573,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666287.008,0,-32,0,1,21.00,2
0x107010249018591604251877,1515666287.679,0,-32,0,1,21.00,2
0x107010249018591604251877,1515666287.731,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666288.144,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666288.495,0,-32,0,1,21.00,2
0x107010249018591604251877,1515666288.898,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666290.564,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666290.618,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666291.123,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666291.969,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666292.024,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666292.270,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666292.315,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666292.584,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666292.625,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666293.227,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666293.287,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666294.263,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666294.307,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666294.559,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666294.618,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666295.185,0,-31,0,3,21.00,2
0x107010249018591604251877,1515666295.233,0,-31,0,3,21.00,2
0x107010449013305354211892,1515666285.431,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666286.584,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666286.948,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666286.995,0,-34,0,1,21.00,2
0x107010449013305354211892,1515666288.477,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666288.874,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666288.932,0,-33,0,1,21.00,2
0x107010449013305354211892,1515666293.143,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666293.191,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666293.541,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666293.604,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666293.853,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666293.920,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666294.223,0,-33,0,3,21.00,1
0x107010449013305354211892,1515666295.086,0,-33,0,3,21.00,1
0x104010149108547326741498,1515666285.485,0,-35,0,1,21.00,2
0x104010149108547326741498,1515666286.602,0,-36,0,1,21.00,2
0x104010149108547326741498,1515666286.962,0,-35,0,1,21.00,2
0x104010149108547326741498,1515666287.019,0,-35,0,1,21.00,2
0x104010149108547326741498,1515666287.718,0,-35,0,1,21.00,2
0x104010149108547326741498,1515666288.076,0,-36,0,1,21.00,2
0x104010149108547326741498,1515666288.130,0,-36,0,1,21.00,2
0x104010149108547326741498,1515666291.112,0,-35,0,2,21.00,2
0x104010149108547326741498,1515666291.157,0,-36,0,2,21.00,2
0x107010449013305354211896,1515666285.513,0,-34,0,1,21.00,3
0x107010449013305354211896,1515666285.576,0,-34,0,1,21.00,3
0x107010449013305354211896,1515666285.797,0,-34,0,1,21.00,3
0x107010449013305354211896,1515666285.983,0,-34,0,1,21.00,3
0x107010449013305354211896,1515666286.164,0,-34,0,1,21.00,3
