MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:42:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x104010149108547326741498,1515667328.767,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667328.838,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667328.901,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667328.934,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667329.016,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667329.085,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667329.125,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667329.284,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667329.346,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667329.389,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667329.443,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667329.497,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667329.510,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667329.595,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667329.638,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667329.695,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667329.727,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667329.882,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667329.911,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667330.085,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667330.146,0,-28,0,3,21.00,2
0x104010149108547326741498,1515667330.288,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667330.310,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667330.464,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667330.509,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667330.836,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667330.880,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667330.937,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667330.983,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667331.022,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667331.084,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667331.127,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667331.195,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667331.249,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667331.286,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667331.342,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667331.395,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667331.418,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667331.604,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667331.692,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667331.860,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667331.962,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667332.067,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667332.161,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667332.263,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667332.335,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667332.392,0,-34,0,3,21.00,1
0x104010149108547326741498,1515667332.448,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667332.498,0,-29,0,3,21.00,2
0x104010149108547326741498,1515667332.671,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667332.691,0,-28,0,4,21.00,4
0x104010149108547326741498,1515667332.814,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667332.916,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667333.098,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667333.291,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667333.460,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667333.509,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667333.551,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667333.602,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667333.665,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667333.706,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667333.878,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667333.958,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667334.007,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667334.061,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667334.122,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667334.276,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667334.317,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667334.475,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667334.505,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667334.653,0,-28,0,4,21.00,4
0x104010149108547326741498,1515667334.703,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667334.802,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667335.072,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667335.129,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667335.169,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667335.260,0,-34,0,4,21.00,1
0x104010149108547326741498,1515667335.345,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667335.617,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667335.808,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667335.830,0,-28,0,4,21.00,4
0x104010149108547326741498,1515667336.003,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667336.051,0,-29,0,4,21.00,2
0x104010149108547326741498,1515667336.237,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667336.590,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667336.668,0,-29,0,1,21.00,4
0x104010149108547326741498,1515667336.789,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667336.843,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667336.978,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667337.015,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667337.087,0,-33,0,1,21.00,1
0x104010149108547326741498,1515667337.140,0,-33,0,1,21.00,1
0x104010149108547326741498,1515667337.204,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667337.227,0,-29,0,1,21.00,2
0x104010149108547326741498,1515667337.424,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667337.516,0,-33,0,1,21.00,1
0x104010149108547326741498,1515667337.595,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667337.660,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667337.746,0,-35,0,1,21.00,3
0x104010149108547326741498,1515667337.794,0,-29,0,1,21.00,4
0x104010149108547326741498,1515667337.807,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667338.273,0,-33,0,1,21.00,1
0x104010149108547326741498,1515667338.318,0,-33,0,1,21.00,1
0x104010149108547326741498,1515667338.377,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667338.422,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667338.551,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667338.599,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667338.825,0,-29,0,1,21.00,2
0x104010149108547326741498,1515667338.918,0,-35,0,1,21.00,3
0x104010149108547326741498,1515667338.984,0,-27,0,1,21.00,4
0x104010149108547326741498,1515667339.026,0,-28,0,1,21.00,4
0x104010149108547326741498,1515667339.165,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667339.198,0,-28,0,1,21.00,2
0x104010149108547326741498,1515667339.262,0,-35,0,1,21.00,3
0x00b07a139010bc913000c7d3,1515667328.783,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667328.848,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667329.213,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667329.580,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667329.652,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667330.030,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667330.389,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667330.762,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667331.152,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667331.531,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667331.991,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667332.804,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667332.843,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667333.178,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667333.222,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667333.568,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667333.625,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667334.022,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667334.379,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667334.436,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667334.840,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667335.179,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667335.248,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667335.928,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667335.957,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667336.309,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667336.379,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667336.724,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667337.499,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667337.546,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667337.878,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667337.919,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667338.288,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667338.669,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667338.722,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667339.097,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667339.120,0,-30,0,1,21.00,1
0x107010549013305354071900,1515667328.810,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667329.107,0,-34,0,3,21.00,4
0x107010549013305354071900,1515667329.255,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667329.551,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667329.627,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667329.980,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667330.040,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667330.378,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667330.407,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667330.752,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667330.801,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667331.136,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667331.178,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667331.548,0,-32,0,3,21.00,1
0x107010549013305354071900,1515667331.578,0,-32,0,3,21.00,1
0x107010549013305354071900,1515667331.940,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667332.002,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667332.760,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667332.856,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667333.192,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667333.471,0,-33,0,4,21.00,4
0x107010549013305354071900,1515667333.580,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667333.947,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667334.032,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667334.343,0,-33,0,4,21.00,4
0x107010549013305354071900,1515667334.427,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667334.766,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667334.825,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667335.190,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667335.937,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667336.208,0,-33,0,4,21.00,4
0x107010549013305354071900,1515667336.267,0,-33,0,4,21.00,4
0x107010549013305354071900,1515667336.337,0,-33,0,4,21.00,1
0x107010549013305354071900,1515667337.899,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667338.158,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667338.219,0,-33,0,1,21.00,4
0x107010549013305354071900,1515667338.679,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667338.712,0,-33,0,1,21.00,1
0x107010549013305354071900,1515667339.017,0,-33,0,1,21.00,4
0x000000000000000000006121,1515667328.815,0,-26,0,3,21.00,1
0x000000000000000000006121,1515667328.874,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667328.919,0,-22,0,3,21.00,2
0x000000000000000000006121,1515667329.083,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667329.122,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667329.175,0,-26,0,3,21.00,1
0x000000000000000000006121,1515667329.223,0,-26,0,3,21.00,1
0x000000000000000000006121,1515667329.273,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667329.322,0,-22,0,3,21.00,2
0x000000000000000000006121,1515667329.468,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667329.516,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667329.567,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667329.612,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667329.669,0,-22,0,3,21.00,2
0x000000000000000000006121,1515667329.749,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667329.906,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667329.991,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667330.007,0,-28,0,3,21.00,1
0x000000000000000000006121,1515667330.067,0,-22,0,3,21.00,2
0x000000000000000000006121,1515667330.272,0,-25,0,3,21.00,4
0x000000000000000000006121,1515667330.297,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667330.452,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667330.521,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667330.637,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667330.680,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667330.739,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667330.765,0,-26,0,3,21.00,1
0x000000000000000000006121,1515667330.849,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667330.869,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667331.006,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667331.056,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667331.161,0,-26,0,3,21.00,1
0x000000000000000000006121,1515667331.222,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667331.270,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667331.423,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667331.466,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667331.512,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667331.589,0,-27,0,3,21.00,1
0x000000000000000000006121,1515667331.620,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667331.668,0,-23,0,3,21.00,2
0x000000000000000000006121,1515667331.821,0,-25,0,3,21.00,4
0x000000000000000000006121,1515667331.866,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667332.027,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667332.075,0,-24,0,3,21.00,2
0x000000000000000000006121,1515667332.222,0,-24,0,3,21.00,4
0x000000000000000000006121,1515667332.267,0,-25,0,3,21.00,4
