MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:46:29 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661865,1515667574.953,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667576.222,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667576.480,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667576.679,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667578.590,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667578.639,0,-34,0,3,21.00,3
0x107010145263633097661865,1515667579.140,0,-35,0,4,21.00,3
0x107010145263633097661865,1515667579.191,0,-35,0,4,21.00,3
0x107010145263633097661865,1515667582.788,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667582.837,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667584.039,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667584.085,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667584.374,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667584.416,0,-34,0,1,21.00,3
0x107010145263633097661865,1515667585.269,0,-34,0,1,21.00,3
0x107010449013305354211896,1515667574.964,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667575.215,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667575.503,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667575.760,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667575.824,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667576.691,0,-34,0,3,21.00,3
0x107010449013305354211896,1515667577.188,0,-34,0,3,21.00,3
0x107010145263633097661866,1515667574.974,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667575.172,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667575.473,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667575.814,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667576.190,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667576.254,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667576.545,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667576.641,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667577.157,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667577.372,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667577.586,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667577.804,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667578.066,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667578.113,0,-33,0,3,21.00,3
0x107010145263633097661866,1515667578.375,0,-34,0,3,21.00,3
0x107010145263633097661866,1515667580.291,0,-34,0,4,21.00,3
0x107010145263633097661866,1515667580.855,0,-33,0,4,21.00,3
0x107010145263633097661866,1515667581.878,0,-34,0,4,21.00,3
0x107010349013305354381889,1515667574.984,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667575.139,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667575.194,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667575.249,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667575.314,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667575.491,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667575.560,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667575.597,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667575.786,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667575.871,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667576.096,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667576.179,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667576.209,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667576.280,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667576.337,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667576.600,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667576.666,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667576.739,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667576.915,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667576.969,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667577.020,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667577.064,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667577.145,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667577.359,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667577.380,0,-28,0,3,21.00,3
0x107010349013305354381889,1515667577.576,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667577.594,0,-28,0,3,21.00,3
0x107010349013305354381889,1515667577.667,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667577.712,0,-32,0,3,21.00,4
0x107010349013305354381889,1515667577.765,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667577.825,0,-30,0,3,21.00,3
0x107010349013305354381889,1515667578.093,0,-31,0,3,21.00,3
0x107010349013305354381889,1515667578.408,0,-29,0,3,21.00,3
0x107010349013305354381889,1515667578.486,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667578.517,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667578.691,0,-33,0,3,21.00,4
0x107010349013305354381889,1515667578.989,0,-31,0,4,21.00,3
0x107010349013305354381889,1515667579.037,0,-33,0,4,21.00,4
0x107010349013305354381889,1515667579.206,0,-31,0,4,21.00,3
0x107010349013305354381889,1515667579.491,0,-31,0,4,21.00,3
0x107010349013305354381889,1515667579.553,0,-33,0,4,21.00,4
0x107010349013305354381889,1515667579.771,0,-29,0,4,21.00,3
0x107010349013305354381889,1515667579.938,0,-29,0,4,21.00,3
0x107010349013305354381889,1515667579.980,0,-29,0,4,21.00,3
0x107010349013305354381889,1515667580.073,0,-33,0,4,21.00,4
0x107010349013305354381889,1515667580.248,0,-31,0,4,21.00,3
0x107010349013305354381889,1515667580.316,0,-31,0,4,21.00,3
0x107010349013305354381889,1515667580.398,0,-33,0,4,21.00,4
