MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:39:55 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x106020349010851617841853,1515667181.339,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667181.383,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667181.625,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667181.660,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667181.823,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667182.503,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667182.686,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667182.734,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667182.917,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667183.205,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667183.260,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667183.433,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667183.633,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667183.684,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667184.074,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667184.274,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667184.525,0,-34,0,3,21.00,3
0x106020349010851617841853,1515667185.215,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667185.422,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667185.710,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667186.282,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667186.547,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667188.870,0,-34,0,4,21.00,3
0x106020349010851617841853,1515667188.979,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667189.184,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667189.231,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667189.653,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667190.239,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667190.516,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667190.787,0,-34,0,1,21.00,3
0x106020349010851617841853,1515667190.828,0,-34,0,1,21.00,3
0x106020349010851617841860,1515667181.373,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667181.639,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667181.896,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667182.295,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667182.481,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667182.701,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667182.906,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667182.936,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667183.643,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.031,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.097,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.252,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.293,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.535,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.788,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667184.945,0,-34,0,3,21.00,3
0x106020349010851617841860,1515667185.758,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667186.302,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667186.588,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667186.874,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667187.098,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667187.673,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667187.704,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667187.997,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667188.295,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667188.488,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667188.553,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667188.839,0,-34,0,4,21.00,3
0x106020349010851617841860,1515667188.942,0,-34,0,1,21.00,3
0x106020349010851617841860,1515667189.012,0,-34,0,1,21.00,3
0x106020349010851617841860,1515667189.422,0,-34,0,1,21.00,3
0x107010249722621700351874,1515667181.394,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.305,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.470,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.512,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.676,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.744,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667182.950,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.214,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.251,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.410,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.466,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.613,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667183.661,0,-33,0,3,21.00,3
0x107010249722621700351874,1515667183.848,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667184.055,0,-33,0,3,21.00,3
0x107010249722621700351874,1515667184.546,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667184.735,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667184.798,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667184.988,0,-32,0,3,21.00,3
0x107010249722621700351874,1515667185.177,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667185.236,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667185.460,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667185.747,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667186.007,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667186.063,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667186.241,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667186.892,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667187.088,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667187.137,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667187.332,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667187.662,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667187.725,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667188.033,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667188.280,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667188.337,0,-33,0,4,21.00,3
0x107010249722621700351874,1515667188.529,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667188.803,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667188.860,0,-32,0,4,21.00,3
0x107010249722621700351874,1515667189.194,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667189.403,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667189.600,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667189.643,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667189.902,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667189.948,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667190.199,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667190.252,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667190.497,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667190.544,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667190.799,0,-32,0,1,21.00,3
0x107010249722621700351874,1515667191.053,0,-32,0,1,21.00,3
0x108010249027506682943253,1515667181.420,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667181.458,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667181.716,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667181.778,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667181.983,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667182.558,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667182.601,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667182.780,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667182.837,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667183.002,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667183.033,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667183.720,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667183.753,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667184.338,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667184.385,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667184.638,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667184.824,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667184.866,0,-32,0,3,21.00,4
0x108010249027506682943253,1515667185.265,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667185.312,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667185.514,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667186.134,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667186.162,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667186.632,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667186.692,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667187.185,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667187.786,0,-32,0,4,21.00,4
0x108010249027506682943253,1515667189.073,0,-32,0,1,21.00,4
0x108010249027506682943253,1515667189.485,0,-32,0,1,21.00,4
0x108010249027506682943253,1515667189.746,0,-32,0,1,21.00,4
0x108010249027506682943253,1515667190.046,0,-32,0,1,21.00,4
0x108010249027506682943253,1515667190.309,0,-32,0,1,21.00,4
0x108010249027506682943253,1515667190.643,0,-32,0,1,21.00,4
0x107010449013305354141898,1515667181.430,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667181.467,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667181.936,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667181.996,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667182.108,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667182.988,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.043,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.311,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.356,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.504,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.549,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.929,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667183.959,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667184.160,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667184.347,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667184.394,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667185.051,0,-33,0,3,21.00,4
0x107010449013305354141898,1515667185.118,0,-32,0,4,21.00,4
0x107010449013305354141898,1515667185.501,0,-33,0,4,21.00,4
0x107010449013305354141898,1515667185.551,0,-33,0,4,21.00,4
