MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:35:46 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517366135.449,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366135.512,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366135.681,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366135.737,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.020,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.231,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.276,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.541,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.753,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.801,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366136.979,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366137.011,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366137.293,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366137.477,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366137.659,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366137.748,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366137.781,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366138.082,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366138.157,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366138.214,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366138.616,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366138.702,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366138.761,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366138.802,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366138.958,0,-31,0,1,21.00,2
0x107010249722621700351874,1517366139.036,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366139.536,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366139.589,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366139.673,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366139.878,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366140.177,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366140.233,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366140.460,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366141.237,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366141.471,0,-31,0,1,21.00,2
0x107010249722621700351874,1517366141.532,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366141.746,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366141.849,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366141.899,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366142.194,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366142.546,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366142.762,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366142.795,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366142.964,0,-31,0,1,21.00,2
0x107010249722621700351874,1517366143.001,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366143.071,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366143.321,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366143.361,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366143.544,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366143.581,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366143.735,0,-31,0,1,21.00,2
0x107010249722621700351874,1517366143.778,0,-32,0,1,21.00,2
0x107010249722621700351874,1517366143.848,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.052,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.115,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.278,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.314,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.618,0,-31,0,1,21.00,3
0x107010249722621700351874,1517366144.856,0,-31,0,1,21.00,3
