MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:38:10 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517366275.851,0,-33,0,1,21.00,2
0x107010349013305354381890,1517366275.929,0,-33,0,1,21.00,2
0x107010349013305354381890,1517366275.958,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366276.018,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366276.321,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366276.398,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366276.598,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366276.874,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366276.933,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366277.217,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366277.569,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366277.641,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366277.873,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366277.921,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366278.183,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366278.235,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366278.523,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366278.765,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366279.023,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366279.104,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366279.388,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366279.747,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366279.762,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366280.040,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366280.089,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366280.160,0,-34,0,1,21.00,4
0x107010349013305354381890,1517366280.442,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366280.737,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366281.005,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366281.566,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366281.628,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366281.826,0,-33,0,1,21.00,2
0x107010349013305354381890,1517366281.926,0,-29,0,1,21.00,3
